	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	cellular response to gamma radiation (GO:0071480)	3/17	2.0388452989318e-09	5.42332849515859e-07	0	0	4281.85714285714	85683.7389655018	YAP1;KDM1A;TP53
2	response to gamma radiation (GO:0010332)	3/26	7.79314477459164e-09	1.03648825502069e-06	0	0	2605.17391304348	48638.6526153859	YAP1;KDM1A;TP53
3	cellular response to ionizing radiation (GO:0071479)	3/46	4.54671753446058e-08	4.03142288055505e-06	0	0	1392.06976744186	23534.714575304	YAP1;KDM1A;TP53
4	positive regulation of transcription from RNA polymerase II promoter (GO:0045944)	4/848	3.20984094801097e-06	0.000213454423042729	0	0	76608	969036.744808611	YAP1;KDM1A;STAT3;TP53
5	positive regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902895)	2/19	5.12408044020623e-06	0.000272601079418971	0	0	1175.23529411765	14316.1986328126	STAT3;TP53
6	regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902893)	2/26	9.73427288665303e-06	0.000371800049098686	0	0	832.166666666667	9603.08484325714	STAT3;TP53
7	positive regulation of transcription, DNA-templated (GO:0045893)	4/1120	9.78421181838648e-06	0.000371800049098686	0	0	75520	871103.603341376	YAP1;KDM1A;STAT3;TP53
8	positive regulation of histone modification (GO:0031058)	2/29	1.21579486452198e-05	0.000404251792453559	0	0	739.592592592593	8370.35942602801	KDM1A;TP53
9	regulation of transcription from RNA polymerase II promoter (GO:0006357)	4/1478	2.971126332966e-05	0.000878132893965508	0	0	74088	772292.152327118	YAP1;KDM1A;STAT3;TP53
10	regulation of transcription, DNA-templated (GO:0006355)	4/1598	4.0612937803105e-05	0.00108030414556259	0	0	73608	744281.688739572	YAP1;KDM1A;STAT3;TP53
11	positive regulation of nucleic acid-templated transcription (GO:1903508)	3/502	6.17052302621989e-05	0.00135134668387643	0	0	117.216432865731	1136.19551225529	YAP1;STAT3;TP53
12	cellular response to light stimulus (GO:0071482)	2/66	6.40760808815633e-05	0.00135134668387643	0	0	311.4375	3007.06591338533	KDM1A;TP53
13	cellular response to UV (GO:0034644)	2/67	6.60432589864419e-05	0.00135134668387643	0	0	306.630769230769	2951.38266135854	KDM1A;TP53
14	negative regulation of transcription from RNA polymerase II promoter (GO:0000122)	3/565	8.7821499434391e-05	0.00166860848925343	0	0	103.740213523132	968.95478003134	KDM1A;STAT3;TP53
15	response to UV (GO:0009411)	2/98	0.000141680704124179	0.00251247115313544	0	0	207.291666666667	1837.00519202251	KDM1A;TP53
16	positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	2/116	0.00019858530786206	0.00327648036132035	0	0	174.40350877193	1486.66639755828	STAT3;TP53
17	macromolecular complex assembly (GO:0065003)	2/120	0.000212521811829033	0.00327648036132035	0	0	168.457627118644	1424.55618454019	YAP1;TP53
18	positive regulation of gene expression (GO:0010628)	3/771	0.000221716716179572	0.00327648036132035	0	0	75.109375	631.978546600061	YAP1;STAT3;TP53
19	negative regulation of transcription, DNA-templated (GO:0045892)	3/813	0.000259591210403298	0.00363427694564617	0	0	71.0592592592593	586.693840959882	KDM1A;STAT3;TP53
20	positive regulation of macromolecule metabolic process (GO:0010604)	2/276	0.00111783858131511	0.00943146345489137	0	0	71.978102189781	489.188971971134	STAT3;TP53
21	T-helper 17 cell lineage commitment (GO:0072540)	1/6	0.00119952412376858	0.00943146345489137	0	0	1332.73333333333	8963.73832093668	STAT3
22	photoreceptor cell differentiation (GO:0046530)	1/6	0.00119952412376858	0.00943146345489137	0	0	1332.73333333333	8963.73832093668	STAT3
23	positive regulation of intracellular estrogen receptor signaling pathway (GO:0033148)	1/6	0.00119952412376858	0.00943146345489137	0	0	1332.73333333333	8963.73832093668	YAP1
24	regulation of thymocyte apoptotic process (GO:0070243)	1/6	0.00119952412376858	0.00943146345489137	0	0	1332.73333333333	8963.73832093668	TP53
25	astrocyte differentiation (GO:0048708)	1/6	0.00119952412376858	0.00943146345489137	0	0	1332.73333333333	8963.73832093668	STAT3
26	radial glial cell differentiation (GO:0060019)	1/7	0.00139934120354351	0.00943146345489137	0	0	1110.55555555556	7298.29760572189	STAT3
27	histone H3-K4 demethylation (GO:0034720)	1/7	0.00139934120354351	0.00943146345489137	0	0	1110.55555555556	7298.29760572189	KDM1A
28	progesterone receptor signaling pathway (GO:0050847)	1/7	0.00139934120354351	0.00943146345489137	0	0	1110.55555555556	7298.29760572189	YAP1
29	ER overload response (GO:0006983)	1/7	0.00139934120354351	0.00943146345489137	0	0	1110.55555555556	7298.29760572189	TP53
30	cellular response to leptin stimulus (GO:0044320)	1/7	0.00139934120354351	0.00943146345489137	0	0	1110.55555555556	7298.29760572189	STAT3
31	cellular response to DNA damage stimulus (GO:0006974)	2/329	0.00158365201647853	0.00943146345489137	0	0	60.1498470948012	387.847519095871	YAP1;TP53
32	interleukin-21-mediated signaling pathway (GO:0038114)	1/8	0.00159912845075281	0.00943146345489137	0	0	951.857142857143	6128.33852699501	STAT3
