Term	Type	Overlap	P.value	Adjusted.P.value	Genes
ACVR2A	human kinase ARCHS4 coexpression	11/299	9.1921833146078e-05	0.00302506396353457	ZNF253;ZNF382;TBL1XR1;ZNF260;ZNF84;ZMAT4;CHD7;ZNF766;ZNF138;FOXP2;RNF2
ADCK1	human kinase ARCHS4 coexpression	8/299	0.00599988820250131	0.0987254331502489	ZNF793;ZNF540;ZNF396;ZNF570;ZNF625;RCOR3;ZNF610;ZNF268
ADCK3	knockdown 96h HA1E 	9/300	0.00169261126032632	0.152156843823019	ZNF571;ZNF384;ZNF493;NFYA;ZNF41;ZNF10;ZNF227;SMC3;ZNF234
ANO1	knockdown 96h A549 	9/300	0.00169261126032632	0.152156843823019	ZNF287;ZNF221;ZNF362;ZNF141;ZNF493;SIX5;MYB;ZNF780B;ZNF224
ATR	knockdown 96h HEPG2 	11/300	9.46809583458572e-05	0.0646860307418896	ZNF550;ZNF132;ZNF197;ZNF493;ZNF180;CTCF;ZBTB7A;ZNF224;RNF2;ZNF134;ZNF222
AXL	knockdown 96h A375 	8/300	0.00611789604147534	0.25800904787259	ZNF143;CHD7;HSF1;ZNF358;ZBTB7A;ZKSCAN1;RNF2;ZNF222
BDKRB2	knockdown 96h A375 	8/300	0.00611789604147534	0.25800904787259	ZNF155;ZNF221;ZNF550;ZNF132;ZNF362;ZNF10;ZNF701;ZBTB7A
BMPR1A	human kinase ARCHS4 coexpression	14/299	6.10389134572378e-07	7.36536222384002e-05	ZNF320;ZNF793;ZNF561;CHD7;ZNF91;ZNF529;ZNF605;ZNF84;ZNF506;NANOG;ZNF445;ZNF554;ZNF268;ZNF431
BUB1B	knockdown 96h HA1E 	8/300	0.00611789604147534	0.25800904787259	ZNF132;ZNF362;ZNF419;ZNF41;ZNF227;ZNF45;ZNF224;ZNF222
CACNA1D	knockdown 96h HA1E 	8/300	0.00611789604147534	0.25800904787259	SIX5;ZNF506;MXI1;ZNF613;ZNF45;ZBTB7A;ZNF224;ZNF211
CDK4	knockdown 133 GSE31534 	9/300	0.00169261126032632	0.189572461156548	ZNF17;ZNF155;ZNF493;ZNF84;MYB;ZNF546;ZNF543;ZNF345;ZNF596
CDK7	knockdown 96h HEPG2 	8/300	0.00611789604147534	0.25800904787259	ZNF287;ZNF221;ZNF197;ZNF606;ZNF180;ZNF701;HBP1;CLOCK
CDK8	knockdown 88 GSE27869 	9/300	0.00169261126032632	0.187879849896222	ZNF583;ZNF140;ZNF616;ZNF624;CREBL2;ZNF12;ZNF654;ZNF268;RNF2
CDKL3	human kinase ARCHS4 coexpression	10/299	0.00040980443286457	0.0114114772843826	ZNF583;ZNF829;ZNF790;ZNF382;ZNF470;ZNF625;ZNF226;ZNF773;ZNF431;ZNF233
CELSR2	knockdown 96h A549 	8/300	0.00611789604147534	0.25800904787259	ZNF287;ZNF132;ZNF362;ZNF493;SIX5;GTF2B;ZNF780B;ZNF224
CHRM3	knockdown 96h HT29 	9/300	0.00169261126032632	0.152156843823019	ZNF221;ZNF550;ZNF384;SETDB1;POLR2A;ZNF419;EP300;TCF3;ZNF224
CHUK	knockdown 96h MCF7 	9/300	0.00169261126032632	0.152156843823019	ZNF287;ZNF221;ZNF197;ZNF701;ZNF780B;ZNF224;ZNF345;ZNF234;ZNF134
CLK1	knockdown 96h A549 	8/300	0.00611789604147534	0.25800904787259	ZNF287;ZNF132;ZNF362;SETDB1;GTF2B;CHD7;ZNF268;RNF2
CLK4	human kinase ARCHS4 coexpression	9/299	0.00165445293772085	0.0374319977159341	ZNF782;ZNF254;ZNF230;ZNF470;ZNF419;ZNF529;ZNF506;ZNF548;ZNF610
CSNK1A1	knockdown 96h HA1E 	10/300	0.000420670801583792	0.0958007638806822	YY1;ZNF287;ZNF221;ZNF132;ZNF384;ZNF197;ZNF419;ZNF780B;ZNF224;RNF2
CSNK1E	knockdown 96h HA1E 	8/300	0.00611789604147534	0.25800904787259	ZNF287;ZNF221;ZNF550;CCNT2;ZNF45;ZNF224;ZNF234;ZNF222
CSNK1G3	human kinase ARCHS4 coexpression	8/299	0.00599988820250131	0.0987254331502489	ZNF253;ZNF91;TBL1XR1;ZNF260;NFYB;SMC3;LCORL;RNF2
CSNK2A2	knockdown 96h HCC515 	8/300	0.00611789604147534	0.25800904787259	ZNF221;ZNF571;CCNT2;ZNF493;SETDB1;SIX5;ZNF248;ZNF234
CSNK2A2	knockdown 96h HEPG2 	8/300	0.00611789604147534	0.25800904787259	ZNF287;ZNF550;ZNF571;ZNF493;ZNF528;ZNF10;ZNF224;ZNF345
CXCR7	knockdown 96h MCF7 	8/300	0.00611789604147534	0.935945574119061	ZNF221;ZNF132;ZNF141;NFYA;ZNF10;ZNF12;ZNF136;GABPA
DAPK3	knockdown 96h HCC515 	9/300	0.00169261126032632	0.152156843823019	ZNF143;ZNF197;CCNT2;ZNF493;ZNF140;ZNF227;CTCF;CLOCK;ZBTB7A
DSTYK	human kinase ARCHS4 coexpression	14/299	6.10389134572378e-07	7.36536222384002e-05	ZNF570;HKR1;ZNF382;ZFP14;ZNF506;ZNF30;ZNF527;ZNF347;ZNF445;ZNF654;ZKSCAN1;ZNF234;ZNF431;ZNF211
DYRK1A	knockdown 96h HEPG2 	9/300	0.00169261126032632	0.152156843823019	YY1;ZNF287;ZNF384;ZNF419;ZNF227;ZNF45;ZNF268;ZNF136;ZNF224
EGFR	knockdown 96h HCC515 	8/300	0.00611789604147534	0.25800904787259	ZNF287;ZNF254;ZNF362;POLR2A;ZNF506;ZNF780B;ZNF234;MXD4
EIF2AK3	knockdown 96h A375 	9/300	0.00169261126032632	0.152156843823019	ZNF155;ZNF254;ZNF221;ZNF780B;ZNF268;ZNF136;ZNF224;ZNF345;ZKSCAN1
EPHA2	knockdown 96h HCC515 	8/300	0.00611789604147534	0.25800904787259	ZNF143;ZNF419;ZNF41;HBP1;ZNF227;ZNF510;ZNF234;ZNF222
EPHA2	knockdown 96h PC3 	8/300	0.00611789604147534	0.935945574119061	ZNF221;ZNF132;ZNF493;NFYB;ZNF506;ZNF41;ZNF780B;ZNF224
ERBB4	knockdown 96h PC3 	8/300	0.00611789604147534	0.25800904787259	ZNF287;ZNF221;ZNF140;ZNF419;ZNF528;ZNF701;ZNF613;SMC3
F2RL1	knockdown 96h MCF7 	10/300	0.000420670801583792	0.0958007638806822	ZNF287;ZNF550;NFYA;ZNF419;RFX5;ZNF304;NANOG;CLOCK;ZNF224;GABPA
FGFR3	knockdown 96h HA1E 	9/300	0.00169261126032632	0.152156843823019	ZNF155;ZNF550;ZNF132;SETDB1;ZNF780B;ZNF227;ZNF45;ZNF224;ZNF234
FZD1	knockdown 96h HEPG2 	8/300	0.00611789604147534	0.25800904787259	ZNF287;ZNF221;SETDB1;ZNF606;ZNF10;ZNF304;ZNF226;ZNF224
FZD5	knockdown 96h HCC515 	9/300	0.00169261126032632	0.152156843823019	ATF2;ZNF362;ZNF506;EP300;SMC3;ZNF268;ZNF510;MXD4;ZNF222
GPR119	knockdown 96h HEPG2 	10/300	0.000420670801583792	0.0958007638806822	ZNF287;ZNF221;SETDB1;SIX5;ZNF10;ZNF613;ZNF304;HBP1;ZNF780B;ZNF224
GPR139	knockdown 96h HCC515 	8/300	0.00611789604147534	0.25800904787259	ZNF384;ZNF197;ZNF493;ZNF140;ZNF606;ZNF227;CLOCK;ZBTB7A
GPR141	knockdown 96h HT29 	8/300	0.00611789604147534	0.25800904787259	ZNF287;ZNF155;ZNF254;ZNF550;ZNF362;SIX5;ZNF224;ZNF345
GPR146	knockdown 96h A549 	10/300	0.000420670801583792	0.0958007638806822	ZNF287;ZNF221;ZNF362;ZNF493;SETDB1;GTF2B;MYB;ZNF780B;ZNF268;RNF2
GPR151	knockdown 96h MCF7 	8/300	0.00611789604147534	0.935945574119061	ZNF550;ZNF132;ZNF197;CCNT2;ZNF41;ZNF780B;TCF3;GABPA
GPR156	knockdown 96h A549 	9/300	0.00169261126032632	0.152156843823019	ZNF287;ZNF221;ZNF197;MYB;CHD7;ZNF41;ZBTB7A;ZNF224;RNF2
GPR19	knockdown 96h A549 	8/300	0.00611789604147534	0.25800904787259	ZNF287;ZNF132;ZNF362;SETDB1;GTF2B;MYB;ZNF780B;ZNF224
GPRC5A	knockdown 96h HEPG2 	11/300	9.46809583458572e-05	0.0646860307418896	ZNF254;ZNF132;ZNF384;ZNF197;ZNF141;ZNF493;HBP1;ZNF780B;ZNF358;ZBTB7A;RNF2
GPRC5C	knockdown 96h HEPG2 	8/300	0.00611789604147534	0.25800904787259	ATF2;ZNF550;ZNF143;SETDB1;ZNF41;ZNF701;ZNF224;RNF2
