Node	Degree	Color	Type
TP53	6	pink	Transcription_factor
KDM1A	5	pink	Transcription_factor
STAT3	4	pink	Transcription_factor
YAP1	4	pink	Transcription_factor
RB1	3	green	Interacting_protein
STAT1	3	pink	Transcription_factor
IKZF1	3	pink	Transcription_factor
CTNNB1	3	pink	Transcription_factor
RBBP7	3	green	Interacting_protein
CHEK2	3	blue	Kinase
STAT2	2	green	Interacting_protein
HDAC2	2	pink	Transcription_factor
KHDRBS1	2	green	Interacting_protein
EZH2	2	pink	Transcription_factor
AR	2	blue	Kinase
BUB1B	2	blue	Kinase
CDK2	2	blue	Kinase
CDK9	2	blue	Kinase
EGFR	2	blue	Kinase
PLK1	2	blue	Kinase
RXRG	2	blue	Kinase
APC	1	green	Interacting_protein
HDAC1	1	pink	Transcription_factor
RAD21	1	pink	Transcription_factor
IRF3	1	pink	Transcription_factor
EPAS1	1	pink	Transcription_factor
E2F6	1	pink	Transcription_factor
RCOR1	1	pink	Transcription_factor
YWHAQ	1	green	Interacting_protein
IRF9	1	pink	Transcription_factor
WBP2	1	green	Interacting_protein
TRIM23	1	pink	Transcription_factor
WBP1	1	green	Interacting_protein
S100A2	1	green	Interacting_protein
TBP	1	pink	Transcription_factor
MYC	1	pink	Transcription_factor
CDC5L	1	green	Interacting_protein
FAM50B	1	green	Interacting_protein
RWDD2B	1	green	Interacting_protein
ZBTB7A	1	pink	Transcription_factor
JARID2	1	green	Interacting_protein
RBPJ	1	green	Interacting_protein
FOXJ1	1	pink	Transcription_factor
S100B	1	green	Interacting_protein
CUX1	1	pink	Transcription_factor
ANAPC4	1	green	Interacting_protein
ARHGEF12	1	green	Interacting_protein
ATG13	1	green	Interacting_protein
BRCA1	1	pink	Transcription_factor
CDK11B	1	blue	Kinase
CDKN3	1	green	Interacting_protein
EP300	1	pink	Transcription_factor
ERG	1	pink	Transcription_factor
ESR1	1	blue	Kinase
FYN	1	blue	Kinase
IGF1R	1	blue	Kinase
KAT7	1	green	Interacting_protein
LARP7	1	green	Interacting_protein
LATS1	1	blue	Kinase
NEK9	1	green	Interacting_protein
PPARG	1	blue	Kinase
PTK2	1	blue	Kinase
RUNX1	1	pink	Transcription_factor
SYK	1	blue	Kinase
ULK1	1	blue	Kinase
XRCC1	1	green	Interacting_protein
SMC3	1	pink	Transcription_factor
TBK1	1	green	Interacting_protein
ARNT	1	pink	Transcription_factor
TFDP2	1	green	Interacting_protein
FAM214B	1	green	Interacting_protein
CTNNA1	1	green	Interacting_protein
COX5B	1	green	Interacting_protein
NPM1	1	green	Interacting_protein
TAF12	1	green	Interacting_protein
SP1	1	pink	Transcription_factor
SIN3A	1	pink	Transcription_factor
RFX3	1	pink	Transcription_factor
KAT2B	1	pink	Transcription_factor
CCNT2	1	pink	Transcription_factor
RXRB	1	blue	Kinase
CDK6	1	blue	Kinase
NR1H3	1	blue	Kinase
RARA	1	pink	Transcription_factor
