Node	Degree	Color	Type
TP53	25	pink	Transcription_factor
DLG4	24	green	Interacting_protein
EGFR	19	blue	Kinase
YWHAZ	15	green	Interacting_protein
SRC	15	blue	Kinase
CTNNB1	13	pink	Transcription_factor
KDM1A	13	pink	Transcription_factor
ERBB3	13	blue	Kinase
PIK3R1	13	green	Interacting_protein
PASK	11	blue	Kinase
HDAC2	10	pink	Transcription_factor
YAP1	10	pink	Transcription_factor
STAT3	9	pink	Transcription_factor
AR	9	blue	Kinase
STAT1	8	pink	Transcription_factor
ERBB2	8	green	Interacting_protein
FYN	8	blue	Kinase
HDAC1	7	pink	Transcription_factor
ESR1	7	blue	Kinase
SMARCB1	7	pink	Transcription_factor
IGF1R	7	blue	Kinase
