Term	Type	Overlap	P.value	Adjusted.P.value	Genes
AR	Human	38/251	4.30504712543784e-05	0.00262742407374378	COPB2;RALB;GLO1;CLTC;SYAP1;ETFA;OMA1;SAT1;GABARAP;TM7SF2;LAPTM4A;TCEAL4;LAMP2;ARL6IP5;CTNNA1;NPTN;SDF4;ACAA1;FDFT1;KLHDC8B;ANK3;RAB11A;TM9SF2;TDP2;GLB1;TMBIM1;TAX1BP1;ERP29;CHMP2A;YME1L1;NDUFS2;STUB1;P4HB;RGL2;ACTR10;ITM2B;ISCU;LRP11
ARID3A	hg19	182/2000	0.00750885406872496	0.0272321107559092	ZNF572;ALDH1L1;RPL30;FAAH;AHCYL1;CHPF;NDUFA12;ZFAND6;COX6A1;ZDHHC4;ALKBH2;RGS5;KRTCAP2;ALCAM;TFG;FAM162A;OSBP;STK16;ZNF569;CLCC1;ACAA1;XYLB;FADS1;ZNF441;STARD5;NHLRC3;RPS7;ESCO1;NSMCE1;ATG10;CDKAL1;SCAMP1;RINT1;THAP6;ADAM17;NEIL2;ETHE1;SPNS1;SUCLG1;FAM8A1;STEAP2;XPR1;SRSF9;EXD2;EXD3;LRRC56;RAB5B;RETSAT;COX16;FAM149B1;FAM114A2;ARL3;YTHDC2;ZNF23;LIAS;GABARAP;ADH5;KLC4;ORC4;COMMD8;FAM171A2;CHTF8;NTHL1;XRRA1;LDHD;VPS8;SCAP;ZNF425;NDUFV1;LHPP;WDTC1;KLHDC3;RAB4A;ABCA5;JUP;NEK4;FZD4;SYNRG;NEK7;TMEM132A;LYZ;ACADSB;TFCP2;CNOT7;ARL2BP;CPE;ACO1;PYROXD2;NDUFAF1;SCN2A;RAD9B;RNF186;EZH1;CDS2;ITGB1;LMBR1L;ABCD4;ARF4;ACADVL;SPEF2;FASTKD1;SPIN3;ETFA;AFF1;COIL;ARV1;SCRN1;AIFM2;TCTN3;PCF11;SCRN2;TCP11L1;ZNF766;ACADS;LBR;CTSC;PARP2;STRADA;LRRC49;VWA5A;AKR1A1;IQCE;ARNT;WDR31;JOSD2;SUMF1;ANO3;RBL2;NSMCE4A;TBC1D5;ZNF638;NDUFS4;TMEM106C;EXOC4;ZNF512;CHMP5;RNFT2;ASAH1;NDUFB7;SSNA1;VPS4B;ADAM22;COX5B;AGPAT1;TM9SF3;TCEAL8;ERLEC1;NT5DC1;NRAS;NFS1;TCEAL4;STOM;RILP;ZNF222;PAIP1;NPM1;TAF12;AGK;LRRC27;NDUFA2;GATC;NR1H4;APEX2;CTNS;PDE4DIP;LAMB1;RANBP6;AGMAT;RAB10;KBTBD3;LYRM2;SPCS1;GLB1L;NEURL2;SCD;KLHL7;GLOD4;PDCD4;CDK2AP2;RBM45;LGR4;CDKN3
ARID3A	hg19	195/2000	0.000214409573219004	0.00269166479610319	LPGAT1;ACSM3;RFESD;IPP;CCNC;GCC2;SPATA20;ACCS;ALKBH7;F11R;NUDT6;ZDHHC4;ALKBH3;ALKBH2;TBK1;OGFOD2;NIPAL3;ARL6IP5;XYLB;NHLRC4;NSMCE1;TALDO1;COG1;FLT3LG;SCAMP1;ATG13;ASRGL1;THAP6;RBP5;ZFYVE16;CRYZL1;TCEANC2;YME1L1;ALPK1;KCTD18;EXD3;RWDD2B;TMEM161A;RETSAT;FUT11;ZNF23;GABARAP;VPS8;S100A13;STK38L;SCAP;AMZ2;TMEM184C;ABCA5;XRCC4;STK11IP;SYNRG;KLHDC8B;NMT1;NDUFAF1;FASTKD1;CETN2;QPRT;ARHGAP1;CROT;COIL;GLI4;ARV1;TCTN3;NNT;ANXA6;SDF4;JARID2;LRRC46;SPHK2;STRADA;KIAA1143;KAT2B;F8;NME7;RBM12B;TLR5;EXOC1;RNASEL;STX16;SSNA1;PBLD;TCEAL8;ORMDL3;ANKRD54;STAT6;PAIP2;ZNF224;CDKN2C;YTHDF3;AGK;GATC;KRT10;KAZALD1;ALDH4A1;FIG4;TM9SF2;KBTBD4;KRT19;KLHL7;R3HCC1;NUCB1;RAD1;LAMTOR2;COPG2;FRYL;SCARB2;ZNF572;ZNF691;TMEM167A;ZFAND6;ZBTB26;COX6A1;SAT1;RGS5;LAPTM4A;FAM162A;RAB2B;STX8;RUNDC3A;RINT1;ADAM17;RAB30;TMEM135;ZNF436;STAMBP;ZNF555;FAM8A1;KANK3;SRSF9;LRRC56;RAB5B;FAM149B1;YTHDC2;ARL1;COX7A2;CORO1B;TMEM127;TCTEX1D2;ZKSCAN3;ZNF425;ZNF546;NDUFV1;ZKSCAN1;WDTC1;OSBPL9;GCKR;OPN3;RFXANK;COPS4;CNOT7;FGFR1OP;PXMP4;RAD9B;CNIH4;ITGB1;LMBR1L;ABCD4;LDB1;AP4M1;GATAD1;SCRN2;ACP2;ZNF766;CEP290;LBR;COA5;CERS5;ACTR6;TCTE3;IQCG;IQCH;NSMCE4A;NDUFS4;LCP1;ZNF512;RNFT2;NDUFB7;RALB;KDM3B;WBP2;RGS16;FURIN;ZBTB41;FBXL20;ERLEC1;SRR;NFS1;FAM120B;RILP;RNF20;NDUFA2;NEURL2;GALM;CLUAP1
ARNT	human tf ARCHS4 coexpression	37/299	0.00271222816011219	0.212540061274246	ASAH1;WDR26;STXBP3;AK3;ADAR;PBXIP1;IQGAP1;ZBTB5;AFF1;KIAA1109;LAMP2;ARL6IP5;ANXA6;STOM;STAT6;ACADM;PCMTD1;SVIL;ANGPT1;STARD8;LRBA;STAT2;LNPEP;KLHL24;SYTL4;RUFY1;VWA8;RBL2;KAT2B;F8;CRISPLD2;PDCD4;TAB3;SPOPL;FKBP9;ALPK1;YPEL2
ATF2	human tf ARCHS4 coexpression	39/299	0.000794299765056609	0.105336368842892	ZNF253;ZNF197;SPIN3;ZNF518A;KLHL12;NREP;FNBP1L;NOL4;FAM117B;PCMTD2;ERLEC1;FSD1L;YWHAQ;PAPOLA;KIF21A;NRCAM;KIFAP3;RAB6A;ZNF224;PCMTD1;APPL1;ZNF140;NDUFA5;KLHL24;ARMCX3;TBCK;ZC2HC1A;CNOT7;APC;LRRC7;NOVA1;SYT11;RUFY3;KLHL7;RAB18;FXYD6;ACTR10;CDS2;CHMP5
ATF3	hg19	134/1394	0.00357347978542352	0.0162270375928782	ZNF331;NDUFA10;ARID4A;OGDHL;SCAMP4;TBK1;STK16;FDXR;KAT7;NUDT14;RALBP1;SCAF11;COG5;ARMC9;FBXO15;ZCRB1;THNSL1;LZTFL1;ARMCX3;ALDH3A2;THAP6;THAP5;THAP8;SCO2;LACTB2;ZNF318;ARMCX6;ERP29;SPNS1;ZNF436;TMEM126B;TBC1D23;ISCU;KHDRBS1;TMED10;ABCB6;FAM149B1;AASDH;COX18;RPN1;ARL2;KLHL12;LIAS;GABARAP;OSGEP;WDR66;KLC4;COMMD8;ZMAT2;NTHL1;NPHP1;ESD;VPS8;ZNF268;NDUFV1;CTSA;CD164;OSBPL8;ZNF140;SYNRG;TCEANC;LARP7;WDR53;ARPC5;ALDH6A1;CNOT7;GGCX;STT3B;OR2A14;KLHDC9;LRRC34;COX4I1;ADAR;VSIG10L;KHK;AP4M1;LMBR1;NPTN;ANXA6;SDF4;CEP290;TMEM150A;CDADC1;ATMIN;SPHK2;GAA;KIAA1143;AGTRAP;ARAP1;TCTE3;KLF15;COMMD4;COPZ1;ITFG1;IQCG;SUMF1;ACOX1;TBC1D5;ESRP2;AIDA;RCCD1;EXOC1;RNFT2;CD63;RNASEK;KDM3B;NDUFB6;WBP2;SSNA1;VPS4B;NPL;AP3M2;NRAS;ORMDL3;TCEAL1;FDXACB1;FKTN;LMLN;WDR17;NPM1;FBXL19;GATC;CTNS;AP2B1;RANBP6;GALNS;GLB1L;NEURL2;GLOD4;XPNPEP3;RAB3GAP2;P4HB;YPEL5;GLA
ATF6	human tf ARCHS4 coexpression	39/299	0.000794299765056609	0.105336368842892	RB1;PATJ;WDR26;FAM114A1;COPB1;GBA;SYAP1;ARL1;IQGAP1;TFPI;WDR66;GABRR2;LMAN1;KIF3B;XRRA1;LAMP2;CPNE3;PARP4;ZBTB14;ZBTB38;ANXA5;CMTM6;FNDC3B;ZDHHC13;LNPEP;AP3B1;CDC42BPA;LRRC41;RAP2C;EXT2;ADAM17;XRN1;RNF128;CCPG1;CD109;CPD;LPCAT2;RAB3GAP2;FKBP9
BACH1	hg19	186/2000	0.00280786796436051	0.0134777662289304	ZNF691;AHCYL1;ACSM3;KDM1A;TMEM179B;RFESD;IPP;THYN1;RBPJ;SAT1;LCLAT1;ANTXR1;ALKBH2;RNF114;CREB3L4;OSBP;STK16;OGFOD2;SPATA24;PAPOLA;KIF21A;ZNF326;KAT7;TBC1D22A;GLUL;XYLB;ZNF441;RAB2B;TLE2;FAM24B;IST1;SCAF11;ARRDC3;TINF2;COG1;CHD1L;VRK2;THOC5;RINT1;THAP5;SCO2;LACTB2;CERCAM;YME1L1;FKBP7;ZNF436;SUCLG1;TCTA;ALPK1;ZNF555;KCTD18;ASF1A;XPR1;EXD3;LRRC56;TMEM161A;FECH;TEX264;COX18;YTHDC2;GLO1;ARL2;ABCB8;OMA1;CORO1B;RPAP3;NTHL1;TMEM127;NPHP1;VPS8;S100A13;ZNF425;RAB6A;WDTC1;NEK4;LRBA;SYNRG;TCEANC;LARP7;RFXANK;KLHDC8B;TDRD7;ARPC5;AP4B1;COPS4;IRAK1BP1;TFCP2;AMACR;GGCX;CCPG1;NOXA1;ANP32E;CRYL1;PXMP4;RGL2;CNIH4;ACADVL;FASTKD1;NGLY1;CLTC;WDR41;ZBTB8OS;CTCF;CROT;ZC3H6;WDR45;KHK;GLI4;LMBR1;FSD1L;RSRC1;AIFM2;NNT;PCF11;OPA3;TCTN1;SDF2;LBR;CTSC;COA5;SPHK2;GAA;KIAA1143;VWA5A;TET1;AP3B1;TCTE3;LRRC41;IQCH;TAF6L;RILPL2;ADORA2B;NME7;EXOC4;VWA1;ZNF513;TLR6;TLR5;RNF32;RNASEL;ASAH1;NDUFB7;STX16;SSNA1;GBA;PARN;GLRX;ABCB11;ZBTB41;EXTL2;SRR;TMEM168;CNPY4;FAM120B;TIFA;STAT6;ZNF226;SCAND1;ZNF224;ZNF222;NQO1;CDKN2C;NDUFA5;GATC;LCA5;AP2B1;CPPED1;LRRC20;WDR11;ALDH4A1;RSPH3;KBTBD3;KBTBD4;NUDT7;GLB1L;KLHL5;KIAA0586;SCD;KLHL7;GLOD4;XPNPEP3;APLF;STUB1;RAD1;RBM45;GLA
BCLAF1	hg19	145/1490	0.00154194930909064	0.00882571594298314	CD86;ANKRD13C;ZNF331;ZNF572;RPL30;KDM1A;NDUFA12;RFESD;CEP19;NDUFA10;THYN1;CIB2;ACCS;ZFYVE1;SAT1;ZDHHC4;ALKBH3;RNF114;FAM162A;OGFOD2;ZNF569;ARFIP1;XYLB;CDK5RAP3;TLE4;RARS2;OSR2;RPS7;SCAF11;TINF2;NSMCE1;FLT3LG;CDKAL1;RINT1;ADAM17;TMEM135;TIPRL;CERCAM;TBC1D23;ALPK1;KCTD18;ZNF397;EXD2;EXD3;NLRX1;COX16;ANAPC16;STXBP3;YTHDC2;ZBTB1;ZNF23;TAPBPL;OMA1;FBXO43;ARPP19;RPAP2;NEU3;NTHL1;TMEM127;XRRA1;ZNF549;S100A13;STK38L;ZNF268;ZKSCAN1;VTI1B;KLHDC2;OSBPL8;ACBD5;GLMN;RFXANK;SUPT5H;PARP14;AP4B1;PTRHD1;COPS4;AMACR;NDUFAF1;CDS2;ARF4;GFM2;LRRK2;NGLY1;ADAR;LSP1;AFF1;COIL;GLI4;ARV1;RSRC1;OPA3;GATAD1;TCP11L1;ITGB7;COA5;ZNF485;TMEM150A;SPHK2;ACTR6;STRADA;LRRC49;KIAA1143;AKR1A1;WDR31;NRG2;TCTE3;COMMD4;ITFG1;SUMF1;RAP2C;KAT2B;FAM189B;AFTPH;PCCA;ZNF517;TMBIM1;TLR6;ITGB3BP;ZNF197;NDUFB7;CLDND1;KDM3B;NDUFB6;SRBD1;NDUFB3;ADAM22;ZDHHC21;TM2D3;OVCA2;TMEM168;NFS1;ZNF226;ZNF224;RILP;AGK;NDUFA2;GATC;KBTBD4;NEURL2;KIAA0586;GLOD4;R3HCC1;AGGF1;RBM45;CLUAP1
BHLHE40	hg19	182/2000	0.00750885406872496	0.0272321107559092	SCARB2;OTUD5;ZNF572;FAAH;LPGAT1;CMAS;TMEM179B;CEP19;ZBTB26;THYN1;CIB2;OGDHL;ABAT;ACCS;F11R;LIPA;SAT1;ZDHHC4;TM7SF2;ALKBH3;KRTCAP2;PAIP2B;SPATA24;PAPOLA;KAT7;KIF21B;ACAD11;SAMD13;NUDT14;CDK5RAP3;PAQR8;RARS2;PAQR7;NHLRC3;RPS7;ESCO1;NHLRC4;ARMC9;ATG10;FLT3LG;ZCRB1;ASRGL1;THAP6;THAP5;NEIL2;XRN1;RFX5;ARMCX6;YME1L1;ZNF436;SUCLG1;TMEM126B;KCTD17;KCTD18;ZNF155;ZNF671;EXD3;ZNF395;TMED10;ABCB6;COX16;ABHD4;YTHDC2;RPN1;ARL2;TAPBPL;KRCC1;OAZ2;NEU3;FAM160B2;FGGY;XRRA1;ARSK;ZKSCAN3;S100A13;FOPNL;ARSG;SCN3A;NDUFV1;VTI1B;WDTC1;CDK19;RAB4A;XRCC4;STK11IP;TCEANC;KLHL24;SUPT5H;ACADSB;ABTB1;PARP11;NMT1;ANP32E;CPE;ACO1;NDUFAF1;RGL2;CDS2;CDKN1C;INVS;ARF4;LDB1;CHM;ETFA;CTCF;AFF1;GLI4;SCPEP1;ARV1;KCNT1;AIFM1;ACP6;SCRN3;SCRN2;JAK3;ERMAP;CTSB;ZNF485;CD52;ACTR6;ANXA4;IQCE;KLF15;COMMD4;IQCG;SUMF1;RAP2C;FAM189B;PCCA;TFDP2;ACOX1;VWA1;ZNF513;LCP1;GLCCI1;PAFAH1B2;ITGB3BP;CD63;ZNF197;OAT;ATF6B;PARN;ZDHHC23;OVCA2;FGD2;PBLD;TCEAL8;ERLEC1;TMEM168;RECQL5;CNPY4;ORMDL3;RPS3;RBBP8;AGA;SPTSSA;YKT6;WDR17;ZNF582;TAF12;ZNF182;NDUFA2;YIPF5;GATC;CDC5L;FBXL15;SUOX;RANBP6;RAB11A;RSPH3;TM9SF2;RSPH1;GLB1L;APC;KLHL7;ASB8;YPEL1;AGGF1;RAD1;LAMTOR2;CLUAP1;CDKN3
