Starting data and time	Sunday 30 July 2023 (12:46:27)
Ending date and time	Sunday 30 July 2023 (12:46:31)
Time consumed	0 hours, 0 minutes, and 3 seconds
Number of datasets	1
Total number of input genes	2863
Genes included in the analysis	2729
Genes filtered out from the analysis	134
Number of clusters	2
Total number of genes in clusters	1093
Genes not included in any cluster	1636
Min cluster size	474
Max cluster size	619
Average cluster size	546.5
Number of samples (including replicates)	12
Number of conditions	4
