C0 (619 genes)	C1 (474 genes)
Genes	Genes
A3GALT2	5S-rRNA
AAMDC	A1BG
ABAT	AAK1
ABCA5	AAR2
ABCB10	ABCA4
ABCB11	ABCC1
ABCB6	ABCE1
ABCC11	ABCF1
ABCC6	ABHD15
ABCD4	ABHD17C
ABHD14A	ABHD2
ABHD14B	ABL1
ABHD4	ABL2
ABI2	ABRA
ABI3	ABT1
ABITRAM	ATP13A3
ABRACL	ATP2B1
ABTB1	ATP5F1D
ATP11B	ATP8B1
ATP11C	ATR
ATP13A4	ATRIP
ATP2B3	ATXN2
ATP2B4	ATXN2L
ATP4A	ATXN7L2
ATP5MD	AUNIP
ATP5MPL	AUP1
ATP5PF	AUTS2
ATP6AP1L	AVEN
ATP6AP2	AXIN1
ATP6V0D1	AXIN2
ATP6V1A	B3GALT6
ATP6V1C1	B3GNT2
ATP6V1G2	B4GALT2
ATP7A	BACH2
ATP7B	BAG1
ATP8A1	BAG2
ATRAID	BAG5
ATRN	BAHD1
ATRNL1	BAIAP2L1
ATRX	BANP
ATXN7L1	BARHL1
AZGP1	BARX2
AZI2	BAZ1B
B3GALNT1	BCAN
B3GALNT2	BCAR1
B3GAT2	BCAR3
B3GAT3	BCL2L1
B3GLCT	BCL2L13
B3GNT3	BCL6
B4GALNT2	BCL7B
B4GALT1	BCL9
B4GALT6	BCO2
B4GALT7	BCOR
B4GAT1	BDNF
B9D2	BDP1
BAIAP3	BEGAIN
BANF1	BEND3
BAP1	BEST3
BATF2	BEST4
BBS12	BHLHE40
BBS2	BHLHE41
BBS7	BICC1
BBS9	BICD1
BBX	BICD2
BCAM	BICDL1
BCAP29	BICRA
BCAS1	BIN1
BCAT2	BIRC6
BCL2L14	CKLF
BCL7C	CLCF1
BCL9L	CLCN1
BCO1	CLCNKB
BDH2	CLDN1
BEND5	CLDN4
BEND6	CLDN7
BET1	CLEC16A
BEX1	CLIP1
BEX3	CLK1
BFAR	CLK3
BLNK	CLK4
BLOC1S3	CLOCK
BLOC1S4	CLPTM1
BLOC1S5	CLSTN2
BLVRA	CLTB
CLBA1	CLUH
CLCC1	CMC2
CLCN3	CMSS1
CLCN5	CMTM4
CLDN2	CMTM7
CLDN34	CNBD2
CLDN9	CNBP
CLDND2	CNKSR2
CLEC2D	CNKSR3
CLIP3	CNNM4
CLSTN1	CNOT3
CLSTN3	CNOT4
CLTCL1	CNST
CLU	CNTFR
CLUAP1	COA4
CLYBL	COCH
CMTM1	COG3
CMTM6	COL11A2
CNEP1R1	COL12A1
CNGA3	COL9A1
CNIH4	COPS3
CNN3	COQ10B
CNOT6	CORO1C
CNOT7	CORO2B
CNPY3	COX10
CNPY4	FAM160A1
CNRIP1	FAM184A
CNTLN	FAM193A
CNTN2	FAM207A
COA1	FAM216A
COA6	FAM53B
COBLL1	FAM71A
COG5	FAM83B
COIL	FAM83C
COL13A1	FAM83E
COL14A1	FAM83G
COL1A1	FAM83H
COL24A1	FAM89A
COL8A2	FANCB
COL9A2	FANK1
COMMD5	FAP
COMMD6	FARSA
COMMD7	FARSB
COMMD8	FASLG
COMT	FASTKD2
COPB1	FAU
COPB2	FAXC
COPG1	FBRS
COPG2	FBXL12
COPS4	FBXL18
COPS7A	FBXO10
COQ10A	FBXO30
COQ8A	FBXO31
COQ8B	FBXO38
CORO1B	FBXO4
COX15	FBXO40
COX16	FBXO42
COX18	FBXO44
COX2	FBXO48
COX3	FBXW11
COX4I1	FBXW7
COX6A1	FEM1A
COX7A2	FEN1
FAM149B1	FERMT1
FAM160B2	FERMT2
FAM161B	FETUB
FAM167A	FGD3
FAM168A	FGD5
FAM171A2	FGF12
FAM177A1	FGF21
FAM178B	FGF7
FAM180B	FGFBP3
FAM183A	FGFR1OP2
FAM187A	INTS6
FAM189B	INTS7
FAM20B	INTU
FAM210B	IP6K3
FAM214A	IPO4
FAM214B	IPPK
FAM227B	IQCB1
FAM229B	IQCC
FAM234A	IRF2
FAM24A	IRGQ
FAM32A	IRS2
FAM50B	IRX5
FAM78A	ISG15
FAM8A1	ISG20L2
FAT4	ISL2
FBLIM1	ISM1
FBXL15	ISOC1
FBXL17	ITGA3
FBXL19	ITGA4
FBXL2	ITGB1BP1
FBXL20	ITGB8
FBXL4	ITPRIP
FBXO15	ITPRIPL1
FBXO16	ITPRIPL2
FBXO2	ITSN2
FBXO27	IWS1
FBXO43	JADE1
FBXO8	JAKMIP1
FBXW2	JPH1
FCER2	JUN
FCGRT	JUNB
FCHO1	KANSL1
FCHSD1	KANSL2
FCHSD2	KAT6A
FCRLB	KATNAL1
FCSK	KATNB1
FDXACB1	KBTBD8
FDXR	KCNB1
FECH	KCNC1
FES	KCNE4
FEZ2	KCNG1
FGD1	KCNH1
FGF11	KCNH4
FGF13	KCNIP3
FGFR3	KCNJ14
FGGY	KCNK13
INTS6L	KCNK7
INVS	KCNQ5
IPMK	KCTD13
IPP	NPC1
IQCA1	NPLOC4
IQCG	NPPC
IQCH	NPR2
IQGAP1	NPRL3
IQSEC2	NR1D1
IQUB	NR1D2
IRAK1BP1	NR2C2AP
IRF2BP2	NR4A1
IRX3	NR4A2
ISCA1	NR4A3
