	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	manganese ion binding (GO:0030145)	2/35	6.21324902344407e-05	0.00345684313828838	0	0	241.939393939394	2343.48340136577	NEK4;ABL1
2	RNA polymerase II distal enhancer sequence-specific DNA binding (GO:0000980)	2/52	0.00013807555394688	0.00345684313828838	0	0	159.544	1417.98072929542	JUN;NFKB1
3	transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding (GO:0003705)	2/64	0.00020950564474475	0.00345684313828838	0	0	128.587096774194	1089.23041980736	JUN;NFKB1
4	enhancer sequence-specific DNA binding (GO:0001158)	2/64	0.00020950564474475	0.00345684313828838	0	0	128.587096774194	1089.23041980736	JUN;NFKB1
5	RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	3/460	0.000394896902424535	0.00521263911200387	0	0	32.0612691466083	251.260505983941	JUN;FOXK2;NFKB1
6	protein kinase activity (GO:0004672)	3/513	0.000543692184789486	0.00598061403268435	0	0	28.6514705882353	215.376751974283	GSK3B;NEK4;ABL1
7	RNA polymerase II transcription factor binding (GO:0001085)	2/121	0.000747331283269602	0.00678796806422968	0	0	66.8033613445378	480.917531002551	GSK3B;JUN
8	magnesium ion binding (GO:0000287)	2/127	0.000822784007785416	0.00678796806422968	0	0	63.5776	451.58004771743	ABL1;FOXK2
9	cAMP response element binding (GO:0035497)	1/7	0.0024477534600423	0.012489822425211	0	0	555.194444444444	3338.15358342286	JUN
10	regulatory region DNA binding (GO:0000975)	2/224	0.00252711467965086	0.012489822425211	0	0	35.6234234234234	213.052191618675	JUN;NFKB1
11	DNA binding (GO:0003677)	3/893	0.00271242139019295	0.012489822425211	0	0	16.0980337078652	95.13798739535	JUN;ABL1;FOXK2
12	phosphotransferase activity, alcohol group as acceptor (GO:0016773)	2/254	0.00323479338323943	0.012489822425211	0	0	31.3349206349206	179.6678615511	GSK3B;ABL1
13	RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978)	2/262	0.0034375786413119	0.012489822425211	0	0	30.3584615384615	172.223186147566	JUN;FOXK2
14	tau-protein kinase activity (GO:0050321)	1/10	0.003495224297089	0.012489822425211	0	0	370.074074074074	2093.27134911451	GSK3B
15	protein heterodimerization activity (GO:0046982)	2/265	0.00351513957526952	0.012489822425211	0	0	30.0076045627376	169.56325230166	JUN;NFKB1
16	dynactin binding (GO:0034452)	1/11	0.00384417200458596	0.012489822425211	0	0	333.05	1852.15667504623	GSK3B
17	core promoter proximal region sequence-specific DNA binding (GO:0000987)	2/278	0.00386075494292475	0.012489822425211	0	0	28.5753623188406	158.790217513345	JUN;FOXK2
18	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0000982)	2/280	0.00391529497085441	0.012489822425211	0	0	28.3669064748201	157.233921954999	JUN;FOXK2
19	kinase activity (GO:0016301)	2/280	0.00391529497085441	0.012489822425211	0	0	28.3669064748201	157.233921954999	GSK3B;ABL1
20	ubiquitin protein ligase binding (GO:0031625)	2/284	0.00402546610380129	0.012489822425211	0	0	27.9588652482269	154.196345164681	GSK3B;JUN
21	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)	2/284	0.00402546610380129	0.012489822425211	0	0	27.9588652482269	154.196345164681	FOXK2;NFKB1
22	transcriptional repressor activity, RNA polymerase II activating transcription factor binding (GO:0098811)	1/12	0.00419301510496052	0.012489822425211	0	0	302.757575757576	1657.3964565725	JUN
23	ubiquitin-like protein ligase binding (GO:0044389)	2/297	0.00439353557279654	0.012489822425211	0	0	26.7091525423729	144.967157401421	GSK3B;JUN
24	protein kinase A catalytic subunit binding (GO:0034236)	1/13	0.00454175360916762	0.012489822425211	0	0	277.513888888889	1497.03260111151	GSK3B
25	transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding (GO:0001205)	1/18	0.0062838777740326	0.0148606364198688	0	0	195.843137254902	992.879272061154	NFKB1
26	neuropilin binding (GO:0038191)	1/19	0.00663198906678106	0.0148606364198688	0	0	184.953703703704	927.700128994203	ABL1
