	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	Neurotrophin signaling pathway	4/119	4.11228977901758e-08	3.9066752900667e-06	0	0	230.469565217391	3919.5269268815	GSK3B;JUN;ABL1;NFKB1
2	B cell receptor signaling pathway	3/71	1.48516935979402e-06	7.05455445902158e-05	0	0	219.761029411765	2949.18900301513	GSK3B;JUN;NFKB1
3	ErbB signaling pathway	3/85	2.56115279460832e-06	7.982037806401e-05	0	0	182.112804878049	2344.7120312535	GSK3B;JUN;ABL1
4	IL-17 signaling pathway	3/93	3.36085802374779e-06	7.982037806401e-05	0	0	165.858333333333	2090.36469637573	GSK3B;JUN;NFKB1
5	T cell receptor signaling pathway	3/101	4.31095121738799e-06	8.19080731303719e-05	0	0	152.257653061224	1881.04463727922	GSK3B;JUN;NFKB1
6	Measles	3/138	1.1024030328904e-05	0.000174547146874313	0	0	110.322222222222	1259.37594639659	GSK3B;JUN;NFKB1
7	Non-alcoholic fatty liver disease (NAFLD)	3/149	1.38754940961277e-05	0.000188310277018876	0	0	101.953767123288	1140.39226883502	GSK3B;JUN;NFKB1
8	Pathways in cancer	4/530	1.60155535036407e-05	0.000190184697855733	0	0	49.3460076045627	544.876159225513	GSK3B;JUN;ABL1;NFKB1
9	Influenza A	3/171	2.09592861558149e-05	0.000221236909422491	0	0	88.5044642857143	953.452288386002	GSK3B;JUN;NFKB1
10	Kaposi sarcoma-associated herpesvirus infection	3/186	2.69504370706421e-05	0.0002560291521711	0	0	81.1885245901639	854.225958032671	GSK3B;JUN;NFKB1
11	Cocaine addiction	2/49	0.000122517327309275	0.00105810419039829	0	0	169.753191489362	1529.01080744086	JUN;NFKB1
12	Inflammatory bowel disease (IBD)	2/65	0.000216120604261985	0.00156002876073168	0	0	126.539682539683	1067.95366275566	JUN;NFKB1
13	Shigellosis	2/65	0.000216120604261985	0.00156002876073168	0	0	126.539682539683	1067.95366275566	ABL1;NFKB1
14	Epithelial cell signaling in Helicobacter pylori infection	2/68	0.000236575327494506	0.00156002876073168	0	0	120.769696969697	1008.33565467298	JUN;NFKB1
15	Prolactin signaling pathway	2/70	0.000250719498984362	0.00156002876073168	0	0	117.205882352941	971.774572764675	GSK3B;NFKB1
16	Leishmaniasis	2/74	0.000280224444748221	0.00156002876073168	0	0	110.672222222222	905.289889415916	JUN;NFKB1
17	Chronic myeloid leukemia	2/76	0.000295584396770213	0.00156002876073168	0	0	107.67027027027	874.988497599987	ABL1;NFKB1
18	Pertussis	2/76	0.000295584396770213	0.00156002876073168	0	0	107.67027027027	874.988497599987	JUN;NFKB1
19	Colorectal cancer	2/86	0.00037844252536808	0.00179760199549838	0	0	94.8047619047619	747.009034683811	GSK3B;JUN
20	Salmonella infection	2/86	0.00037844252536808	0.00179760199549838	0	0	94.8047619047619	747.009034683811	JUN;NFKB1
21	Th1 and Th2 cell differentiation	2/92	0.00043298934074385	0.00195876130336504	0	0	88.4577777777778	685.087571543488	JUN;NFKB1
22	Prostate cancer	2/97	0.000481203471822415	0.00202022359810085	0	0	83.7810526315789	640.02192295857	GSK3B;NFKB1
23	AGE-RAGE signaling pathway in diabetic complications	2/100	0.00051133277923463	0.00202022359810085	0	0	81.2040816326531	615.404316417306	JUN;NFKB1
24	Chagas disease (American trypanosomiasis)	2/103	0.000542361025370162	0.00202022359810085	0	0	78.780198019802	592.393897420189	JUN;NFKB1
25	Toll-like receptor signaling pathway	2/104	0.000552903300532864	0.00202022359810085	0	0	78.0039215686274	585.054952990065	JUN;NFKB1
26	C-type lectin receptor signaling pathway	2/104	0.000552903300532864	0.00202022359810085	0	0	78.0039215686274	585.054952990065	JUN;NFKB1
27	Th17 cell differentiation	2/107	0.00058512799250895	0.00202237586410752	0	0	75.7638095238095	563.961549437206	JUN;NFKB1
28	Insulin resistance	2/108	0.000596068675736952	0.00202237586410752	0	0	75.0452830188679	557.222833653302	GSK3B;NFKB1
29	TNF signaling pathway	2/110	0.000618248416001664	0.00202529653517786	0	0	73.6481481481482	544.158196104097	JUN;NFKB1
30	Cell cycle	2/124	0.000784613660254309	0.00248460992413864	0	0	65.1508196721311	465.849151186	GSK3B;ABL1
31	Osteoclast differentiation	2/127	0.000822784007785416	0.00252143486256821	0	0	63.5776	451.58004771743	JUN;NFKB1
32	Relaxin signaling pathway	2/130	0.000861840960503834	0.00255859035149576	0	0	62.078125	438.050552263465	JUN;NFKB1
