	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	MAPKAPK5 human kinase ARCHS4 coexpression	16/299	1.45853923943834e-08	5.27991204676679e-06	0	0	6.69399293286219	120.781356725052	ZNF320;ZNF793;ZNF383;ZNF493;ZNF283;ZNF382;ZFP14;ZNF605;ZNF506;ZNF527;ZNF766;ZNF347;ZNF445;ZNF554;ZNF268;ZNF431
2	BMPR1A human kinase ARCHS4 coexpression	14/299	6.10389134572378e-07	7.36536222384002e-05	0	0	5.74589767832756	82.2190218416717	ZNF320;ZNF793;ZNF561;CHD7;ZNF91;ZNF529;ZNF605;ZNF84;ZNF506;NANOG;ZNF445;ZNF554;ZNF268;ZNF431
3	DSTYK human kinase ARCHS4 coexpression	14/299	6.10389134572378e-07	7.36536222384002e-05	0	0	5.74589767832756	82.2190218416717	ZNF570;HKR1;ZNF382;ZFP14;ZNF506;ZNF30;ZNF527;ZNF347;ZNF445;ZNF654;ZKSCAN1;ZNF234;ZNF431;ZNF211
4	HUNK human kinase ARCHS4 coexpression	11/299	9.1921833146078e-05	0.00302506396353457	0	0	4.38809232026144	40.7854399333667	ZNF793;ZNF583;ZNF382;ZNF506;CHD7;ZNF527;NANOG;ZNF347;ZNF445;ZKSCAN1;ZNF431
5	NEK1 human kinase ARCHS4 coexpression	11/299	9.1921833146078e-05	0.00302506396353457	0	0	4.38809232026144	40.7854399333667	ATF2;ZNF141;ZNF606;TBL1XR1;ZNF182;CHD7;ZNF568;ZFP82;ZNF780A;LCORL;ZKSCAN1
6	NEK5 human kinase ARCHS4 coexpression	11/299	9.1921833146078e-05	0.00302506396353457	0	0	4.38809232026144	40.7854399333667	ZNF793;ZNF396;ZNF383;ZNF493;ZNF283;ZNF419;ZNF506;ZNF527;ZNF445;ZNF554;ZNF268
7	MAP3K13 human kinase ARCHS4 coexpression	11/299	9.1921833146078e-05	0.00302506396353457	0	0	4.38809232026144	40.7854399333667	ZNF320;ZNF793;ZNF583;ZNF829;ZNF570;ZNF382;ZNF529;ZNF506;ZNF527;ZNF599;ZNF431
8	ACVR2A human kinase ARCHS4 coexpression	11/299	9.1921833146078e-05	0.00302506396353457	0	0	4.38809232026144	40.7854399333667	ZNF253;ZNF382;TBL1XR1;ZNF260;ZNF84;ZMAT4;CHD7;ZNF766;ZNF138;FOXP2;RNF2
9	POMK human kinase ARCHS4 coexpression	11/299	9.1921833146078e-05	0.00302506396353457	0	0	4.38809232026144	40.7854399333667	ZNF793;ZNF540;ZNF382;ZNF506;ZNF548;ZNF416;ZNF678;ZNF780B;ZNF226;ZNF445;ZNF431
10	WNK3 human kinase ARCHS4 coexpression	11/299	9.1921833146078e-05	0.00302506396353457	0	0	4.38809232026144	40.7854399333667	ZNF253;ZNF91;ZNF708;ZNF382;TBL1XR1;ZNF260;CHD7;ZNF527;ZNF138;SMC3;ZNF431
11	PDK1 human kinase ARCHS4 coexpression	11/299	9.1921833146078e-05	0.00302506396353457	0	0	4.38809232026144	40.7854399333667	ZNF583;ZNF197;THAP5;ZNF141;TBL1XR1;ZNF84;CHD7;ZNF527;ZNF548;ZNF568;ZNF211
12	RPS6KA5 human kinase ARCHS4 coexpression	10/299	0.00040980443286457	0.0114114772843826	0	0	3.95192132580586	30.824316510683	ZNF320;ZNF793;ZNF383;ZNF283;ZNF506;ZNF766;ZNF347;ZNF445;ZNF554;ZNF268
13	CDKL3 human kinase ARCHS4 coexpression	10/299	0.00040980443286457	0.0114114772843826	0	0	3.95192132580586	30.824316510683	ZNF583;ZNF829;ZNF790;ZNF382;ZNF470;ZNF625;ZNF226;ZNF773;ZNF431;ZNF233
14	NIM1K human kinase ARCHS4 coexpression	9/299	0.00165445293772085	0.0374319977159341	0	0	3.52367682437851	22.566630194361	ZNF320;ZNF793;ZNF396;ZNF283;ZNF382;ZNF470;ZNF506;ZNF527;ZNF548
15	CLK4 human kinase ARCHS4 coexpression	9/299	0.00165445293772085	0.0374319977159341	0	0	3.52367682437851	22.566630194361	ZNF782;ZNF254;ZNF230;ZNF470;ZNF419;ZNF529;ZNF506;ZNF548;ZNF610
16	MYO3B human kinase ARCHS4 coexpression	9/299	0.00165445293772085	0.0374319977159341	0	0	3.52367682437851	22.566630194361	ZNF320;ZNF793;ZNF570;ZNF283;ZNF419;ZNF506;ZNF527;ZNF347;ZNF268
17	GRK4 human kinase ARCHS4 coexpression	8/299	0.00599988820250131	0.0987254331502489	0	0	3.10319210217905	15.8759756136678	ZNF793;ZNF396;ZNF383;ZNF283;ZNF382;ZNF506;ZNF527;ZNF554
18	SGK3 human kinase ARCHS4 coexpression	8/299	0.00599988820250131	0.0987254331502489	0	0	3.10319210217905	15.8759756136678	ZNF793;ZNF383;ZNF283;ZNF506;ZNF527;ZNF766;ZNF347;ZNF445
19	CSNK1G3 human kinase ARCHS4 coexpression	8/299	0.00599988820250131	0.0987254331502489	0	0	3.10319210217905	15.8759756136678	ZNF253;ZNF91;TBL1XR1;ZNF260;NFYB;SMC3;LCORL;RNF2
20	PTK2 human kinase ARCHS4 coexpression	8/299	0.00599988820250131	0.0987254331502489	0	0	3.10319210217905	15.8759756136678	ZNF254;ZNF91;ZNF283;ZNF605;ZNF506;CHD7;ZNF445;ZNF554
21	TBCK human kinase ARCHS4 coexpression	8/299	0.00599988820250131	0.0987254331502489	0	0	3.10319210217905	15.8759756136678	ZNF254;ZNF91;ZNF708;ZNF382;ZNF780A;LCORL;ZKSCAN1;ZNF585A
22	ADCK1 human kinase ARCHS4 coexpression	8/299	0.00599988820250131	0.0987254331502489	0	0	3.10319210217905	15.8759756136678	ZNF793;ZNF540;ZNF396;ZNF570;ZNF625;RCOR3;ZNF610;ZNF268
