	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	KCNG1 knockdown 96h MCF7	10/300	0.000420670801583792	0.935945574119061	0	0	3.93809235733011	30.6133909326478	ATF2;ZNF550;ZNF253;ZNF571;ZNF197;CCNT2;RFX5;ZNF41;ZNF10;CTCF
2	NR2F6 knockdown 96h A375	8/300	0.00611789604147534	0.935945574119061	0	0	3.09240636629979	15.7605635441651	ZNF287;CCNT2;NFYB;ZNF41;SMC3;CLOCK;ZNF345;ZNF234
3	CXCR7 knockdown 96h MCF7	8/300	0.00611789604147534	0.935945574119061	0	0	3.09240636629979	15.7605635441651	ZNF221;ZNF132;ZNF141;NFYA;ZNF10;ZNF12;ZNF136;GABPA
4	GPR151 knockdown 96h MCF7	8/300	0.00611789604147534	0.935945574119061	0	0	3.09240636629979	15.7605635441651	ZNF550;ZNF132;ZNF197;CCNT2;ZNF41;ZNF780B;TCF3;GABPA
5	NEK2 knockdown 96h MCF7	8/300	0.00611789604147534	0.935945574119061	0	0	3.09240636629979	15.7605635441651	ATF2;ZNF384;CCNT2;ZNF141;ZNF41;ZNF613;GABPA;ZNF234
6	NR2F6 knockdown 96h MCF7	8/300	0.00611789604147534	0.935945574119061	0	0	3.09240636629979	15.7605635441651	ZNF287;ZNF221;ZNF550;ZNF571;ZNF197;ZNF41;ZNF10;ZNF345
7	EPHA2 knockdown 96h PC3	8/300	0.00611789604147534	0.935945574119061	0	0	3.09240636629979	15.7605635441651	ZNF221;ZNF132;ZNF493;NFYB;ZNF506;ZNF41;ZNF780B;ZNF224
8	JAK2 knockdown 96h PC3	8/300	0.00611789604147534	0.935945574119061	0	0	3.09240636629979	15.7605635441651	ZNF550;ZNF362;CCNT2;ZNF493;ZNF10;ZBTB7A;ZNF224;ZNF234
9	MAPKAPK3 knockdown 96h PC3	8/300	0.00611789604147534	0.935945574119061	0	0	3.09240636629979	15.7605635441651	ZNF384;ZNF197;POLR2A;NFYA;ZNF41;ZNF613;CLOCK;RNF2
10	PDGFRA knockdown 96h PC3	8/300	0.00611789604147534	0.935945574119061	0	0	3.09240636629979	15.7605635441651	ZNF221;ZNF550;ZNF197;ZNF141;ZNF529;ZNF304;ATF6;ZNF134
