	Term	Type	Overlap	P.value	Adjusted.P.value	Genes
1	PRKDC	knockdown 96h A549 	15/300	1.02180137357815e-07	0.000349047349214297	ZNF155;ZNF221;ZNF550;ZNF132;ZNF180;ZNF10;POLR2A;ZNF419;ZNF84;MYB;ZNF613;ZNF304;ZNF227;ZNF224;ZNF222
2	TYK2	knockdown 96h HA1E 	12/300	1.94324441986484e-05	0.0331906146912915	ZNF221;ZNF550;ZNF132;ZNF197;ZNF419;SIX5;ZNF227;ZNF45;ZNF510;ZNF224;ZNF234;ZNF222
3	STK24	knockdown 96h HCC515 	11/300	9.46809583458572e-05	0.0646860307418896	ZNF155;ZNF254;ZNF362;ZNF493;POLR2A;ZNF506;ZNF10;ZNF613;HBP1;ZNF345;ZNF234
4	ATR	knockdown 96h HEPG2 	11/300	9.46809583458572e-05	0.0646860307418896	ZNF550;ZNF132;ZNF197;ZNF493;ZNF180;CTCF;ZBTB7A;ZNF224;RNF2;ZNF134;ZNF222
5	GPRC5A	knockdown 96h HEPG2 	11/300	9.46809583458572e-05	0.0646860307418896	ZNF254;ZNF132;ZNF384;ZNF197;ZNF141;ZNF493;HBP1;ZNF780B;ZNF358;ZBTB7A;RNF2
6	GPR146	knockdown 96h A549 	10/300	0.000420670801583792	0.0958007638806822	ZNF287;ZNF221;ZNF362;ZNF493;SETDB1;GTF2B;MYB;ZNF780B;ZNF268;RNF2
7	PRKCI	knockdown 96h A549 	10/300	0.000420670801583792	0.0958007638806822	ZNF550;ZNF419;ZNF41;ZNF701;ZNF613;CLOCK;ZBTB7A;ZNF224;ZNF234;ZNF134
8	CSNK1A1	knockdown 96h HA1E 	10/300	0.000420670801583792	0.0958007638806822	YY1;ZNF287;ZNF221;ZNF132;ZNF384;ZNF197;ZNF419;ZNF780B;ZNF224;RNF2
9	RXRA	knockdown 96h HCC515 	10/300	0.000420670801583792	0.0958007638806822	ZNF550;ZNF143;ZNF197;ZNF419;ZNF227;ZNF358;ZNF302;ZNF224;ZNF134;ZNF222
10	GPR119	knockdown 96h HEPG2 	10/300	0.000420670801583792	0.0958007638806822	ZNF287;ZNF221;SETDB1;SIX5;ZNF10;ZNF613;ZNF304;HBP1;ZNF780B;ZNF224
11	MAPK1	knockdown 96h HEPG2 	10/300	0.000420670801583792	0.0958007638806822	ZNF155;ZNF254;ZNF221;ZNF197;SIX5;ZNF84;ZBTB7A;ZNF224;ZNF234;ZNF222
12	OXTR	knockdown 96h HEPG2 	10/300	0.000420670801583792	0.0958007638806822	ZNF254;ZNF221;NFYA;ZNF180;ZNF701;ZNF45;ZNF136;ZNF224;RNF2;ZNF222
