	Term	Type	Overlap	P.value	Adjusted.P.value	Genes
1	CDK12	human kinase ARCHS4 coexpression	36/299	4.23562918768612e-14	1.96533194308636e-11	NFAT5;ZNF592;UBR4;UBP1;FOXK2;BAZ2A;TCF20;YBX1;CHD2;NR2C2;AFF1;PHF8;ELK4;ZNF609;LARP1;POLR2A;ATXN7;SIN3A;HIVEP1;EP400;UBTF;PLAGL2;ZNF646;WHSC1;MTA2;RREB1;ZNF142;HELZ;ASH1L;GATAD2A;SP1;ZNF318;ZNF777;PRR12;ZNF598;RCOR1
2	AKT2	human kinase ARCHS4 coexpression	35/299	2.23956439440528e-13	3.46385959668017e-11	ZNF512B;ZNF592;SRCAP;DOT1L;MAZ;AKAP8L;UBR4;WIZ;BAZ2A;CENPB;MTA1;DVL1;SNAPC4;ZNF768;UBTF;DVL3;ZNF787;CIC;MTA2;MBD3;ESRRA;CIZ1;SF3A2;MINK1;PBX2;ZBTB12;KLF16;NCOR2;ERF;ZNF316;ZNF777;PRR12;ZNF598;SLC2A4RG;ANAPC2
3	MAP2K7	human kinase ARCHS4 coexpression	35/299	2.23956439440528e-13	3.46385959668017e-11	ZNF512B;ZNF592;SRCAP;SRF;DOT1L;MAZ;CXXC1;WIZ;BAZ2A;CENPB;RELA;RXRA;MTA1;DVL1;UBTF;ZNF787;CIC;MBD3;ESRRA;CIZ1;SF3A2;MINK1;PBX2;KLF16;GATAD2A;NCOR2;ERF;ZNF316;MAFK;ZNF777;ZNF710;PRR12;ZNF598;SLC2A4RG;ANAPC2
4	TRIB1	human kinase ARCHS4 coexpression	34/299	1.14511419462522e-12	1.32833246576526e-10	ZNF592;SRCAP;PPP1R10;SRF;UBR4;BAZ2A;HOXA13;RELA;AFF1;MYC;ZNF646;RREB1;JUND;TIPARP;ZBTB10;OVOL1;ETV3;KLF4;NFKB1;TBX3;FOSL2;SMAD7;NCOR2;NR4A2;AR;KLF6;NR4A3;BHLHE40;ERF;FOSB;MAFK;ZNF710;ATF3;ANAPC2
5	CSNK1E	human kinase ARCHS4 coexpression	31/299	1.24219018886707e-10	1.15275249526864e-08	ZNF512B;FOXC1;SRCAP;MAZ;FOXK2;WIZ;HOXD13;MLLT1;YBX1;HOXD11;LARP1;MTA1;ZNF629;SIX5;ZNF703;DVL1;SNAPC4;ZNF768;DVL3;WHSC1;CIC;MBD3;SF3A2;ZNF282;ZBTB12;NCOR2;ERF;ZNF777;PRR12;ZNF598;ATF4
6	STK11	human kinase ARCHS4 coexpression	30/299	5.5103525498437e-10	4.26133930521246e-08	ZNF512B;SRF;MAZ;AKAP8L;CENPB;RXRA;MTA1;DVL1;ZNF768;UBTF;ZNF646;ZNF787;E2F4;CIC;MTA2;MBD3;ESRRA;SF3A2;ZNF282;MINK1;PBX2;KLF16;GATAD2A;ERF;ZNF316;ZNF777;PRR12;ZNF598;SLC2A4RG;ANAPC2
7	LATS1	human kinase ARCHS4 coexpression	29/299	2.353857271496e-09	1.09218977397414e-07	NFAT5;ZCCHC6;SRCAP;ZBTB1;UBR4;UBP1;PRDM2;CHD2;NR2C2;PRDM10;RLF;AFF4;AFF1;ELK4;ATXN7;ZNF407;ZNF460;ZNF140;MGA;ZBTB37;HELZ;ASH1L;NCOR1;CREB1;RFX7;ZNF318;ZNF416;ZNF780A;ZNF236
8	CDK16	human kinase ARCHS4 coexpression	29/299	2.353857271496e-09	1.09218977397414e-07	ZNF512B;SRCAP;MAZ;WIZ;MLLT1;YBX1;ELK1;CENPB;MTA1;ZNF703;HSF1;DVL1;ZNF768;E2F1;DVL3;CIC;MBD3;CIZ1;SF3A2;MINK1;ZBTB12;NCOR2;ERF;ZNF777;PRR12;ZNF598;SLC2A4RG;ATF4;ANAPC2
9	GSK3A	human kinase ARCHS4 coexpression	29/299	2.353857271496e-09	1.09218977397414e-07	SRCAP;SRF;MAZ;AKAP8L;WIZ;MLLT1;ELK1;CENPB;MTA1;DVL1;ZNF768;UBTF;ZNF787;CIC;MBD3;CIZ1;SF3A2;ZNF282;MINK1;PBX2;KLF16;GATAD2A;NCOR2;ERF;ZNF316;ZNF777;PRR12;ZNF598;ANAPC2
10	WNK1	human kinase ARCHS4 coexpression	29/299	2.353857271496e-09	1.09218977397414e-07	NFAT5;ZNF592;SRCAP;UBR4;UBP1;BAZ2A;TCF20;NR2C2;AFF1;ELK4;MECP2;ZNF609;LARP1;POLR2A;EP400;UBTF;DVL3;HIVEP2;WHSC1;CIC;MINK1;PBX2;ASH1L;GATAD2B;NCOR2;KAT2B;SP1;PRR12;TAF1
11	SIK1	human kinase ARCHS4 coexpression	28/299	9.67287942808241e-09	2.99214403642016e-07	ZNF331;CREBZF;HOXC13;ZXDA;MYC;ZXDB;BRD9;MTA2;RREB1;KLF11;JUN;JUND;BRPF1;TIPARP;MINK1;ETV3;KLF4;FOSL2;NR4A2;KLF6;NR4A3;MAFG;ID1;BHLHE40;FOSB;MAFK;ATF3;ANAPC2
12	CDK11B	human kinase ARCHS4 coexpression	28/299	9.67287942808241e-09	2.99214403642016e-07	SRCAP;DOT1L;MAZ;AKAP8L;BAZ2A;YBX1;MTA1;POLR2A;DVL1;UBTF;ZNF646;E2F4;CIC;MBD3;CIZ1;SF3A2;MINK1;PBX2;KLF16;GATAD2A;NCOR2;ERF;ZNF316;ZNF777;PRR12;ZNF598;SLC2A4RG;ANAPC2
13	MAP2K2	human kinase ARCHS4 coexpression	28/299	9.67287942808241e-09	2.99214403642016e-07	MAZ;WIZ;MLLT1;CENPB;MTA1;HSF1;DVL1;ZNF768;ZNF787;CIC;MTA2;MBD3;ESRRA;CIZ1;SF3A2;ZNF282;MINK1;PBX2;KLF16;GATAD2A;NCOR2;ERF;ZNF316;ZNF777;PRR12;ZNF598;SLC2A4RG;ANAPC2
14	TAOK2	human kinase ARCHS4 coexpression	28/299	9.67287942808241e-09	2.99214403642016e-07	ZNF512B;SRCAP;MAZ;AKAP8L;WIZ;CENPB;MTA1;DVL1;ZNF768;UBTF;DVL3;ZNF646;CIC;MTA2;MBD3;SF3A2;MINK1;PBX2;KLF16;NCOR2;ERF;ZNF316;MAFK;ZNF777;PRR12;ZNF598;SLC2A4RG;ANAPC2
15	TLK2	human kinase ARCHS4 coexpression	28/299	9.67287942808241e-09	2.99214403642016e-07	NFAT5;PRDM4;UBR4;UBP1;FOXK2;BAZ2A;TCF20;YBX1;CHD2;NR2C2;AFF4;CHD1;GPATCH8;ELK4;ZNF609;POLR2A;ATXN7;UBTF;PLAGL2;WHSC1;MGA;HELZ;ASH1L;GATAD2B;GATAD2A;SP1;MAFG;RCOR1
16	PKN1	human kinase ARCHS4 coexpression	27/299	3.81983302819025e-08	8.44001202419178e-07	MAZ;AKAP8L;CENPB;MTA1;HSF1;DVL1;ZNF768;UBTF;ZNF787;CIC;MTA2;CCDC71;MBD3;CIZ1;SF3A2;MINK1;PBX2;KLF16;GATAD2A;NCOR2;ERF;ZNF316;ZNF777;PRR12;ZNF598;SLC2A4RG;ANAPC2
