	Term	Type	Overlap	P.value	Adjusted.P.value	Genes
1	NR2F6	knockdown 96h HCC515 	25/300	5.59991357887179e-07	0.00068020283604696	ZNF550;GCM1;GMEB1;GMEB2;ZNF250;DOT1L;ONECUT1;WIZ;NRF1;NPAS1;NHLH2;PKNOX1;RREB1;CCDC71;JUND;ZNF10;ZNF34;ZNF79;ETV3;NR2F6;POU6F1;IRF4;ZFP64;CLOCK;HMX1
2	GPR137	knockdown 96h HEPG2 	25/300	5.59991357887179e-07	0.00068020283604696	GMEB1;SPI1;ZBTB24;ZBTB48;MYNN;NRF1;IKZF5;ZBTB40;ELK4;YY1;TBX21;DVL3;ZNF764;RREB1;ZNF484;ZNF142;CIZ1;MGA;FOXJ2;PAX3;ZNF79;ZNF639;ZNF778;CLOCK;ANAPC2
3	FZD5	knockdown 96h HT29 	25/300	5.59991357887179e-07	0.00068020283604696	GMEB1;ONECUT1;BAZ2A;ZNF3;NRF1;ELK4;YY2;ZNF408;ZNF280B;E2F1;DPF3;ZNF668;ZKSCAN5;ZNF764;ZFP37;ZBED4;CPSF4;ZNF142;ZNF460;TBX6;ZNF35;FOXP3;ZNF639;ZFP64;LMX1B
4	CFTR	knockdown 96h HT29 	24/300	1.94160610597291e-06	0.00141504253003306	ZNF551;GMEB1;PBRM1;DLX2;GMEB2;CHD9;ZBTB43;CTCF;FOXN3;RLF;IKZF4;ARNTL2;PML;RELB;ELK4;ZNF609;ELF1;ZBTB6;SP2;SIX5;ZFP64;MSC;ATF4;ZNF574
5	GPR137	knockdown 96h PC3 	24/300	1.94160610597291e-06	0.00141504253003306	MLXIP;ZNF484;ZNF141;ZBTB25;RFX3;TBX6;GLI1;ZNF79;BACH1;AFF4;NR2C1;IKZF5;ZBTB6;ZNF529;TLX1;ZNF407;ZSCAN12;ZNF778;PKNOX1;CBLL1;RREB1;GABPA;ZNF134;ZNF343
6	EIF2AK1	knockdown 96h HA1E 	23/300	6.43711449534642e-06	0.00234568452210424	ZNF133;ESRRA;ZNF484;ZBTB39;ZNF550;CPSF4;JUN;SETDB1;DOT1L;RFX3;PAX3;ZNF3;ZNF79;TBX19;SP2;ZNF639;HSF2;ZSCAN12;ATF7;LMX1B;ZBED4;GABPA;ZNF343
7	CDK8	knockdown 96h HCC515 	23/300	6.43711449534642e-06	0.00234568452210424	ZNF771;ATF2;ZNF142;GMEB2;ZNF460;POU2F1;DOT1L;ONECUT1;ASH1L;ZNF3;IKZF2;OVOL1;ZNF79;PRDM10;ZBTB3;PML;IKZF5;RELB;ELK4;ZNF609;PLAGL2;ZNF764;ZBED4
8	NRBP1	knockdown 96h HCC515 	23/300	6.43711449534642e-06	0.00234568452210424	ZNF287;CREBZF;ATF2;KLF12;RFX3;PBX2;BRCA1;FOXP3;RUNX1;GLI2;ZNF609;YY2;SP2;ZNF507;ZXDB;ZNF280B;ZKSCAN5;WHSC1;ZC3H13;ZNF444;UNKL;ZSCAN2;ZNF343
9	STK38	knockdown 96h HCC515 	23/300	6.43711449534642e-06	0.00234568452210424	ESRRA;ARNT2;CPSF4;JUN;SRF;UBR4;CXXC1;RFX3;PBX2;BAZ2A;HOXC13;NRF1;TBX6;IKZF2;RUNX1;PHF8;ZBTB40;ZNF639;MYC;ZNF280B;HIVEP3;MAFK;RREB1
10	GPR87	knockdown 96h HT29 	23/300	6.43711449534642e-06	0.00234568452210424	ZNF177;RBPJL;ZNF440;ZNF460;EGR4;DOT1L;RFX3;PRDM13;ARID3A;NRF1;ZNF35;ZNF79;PRDM10;NR2C1;TBX19;HSF1;REL;PLAGL2;ZNF248;ZNF576;ZNF202;SLC2A4RG;ZNF432
