	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	RIOK3 knockdown 96h PC3	39/300	2.64604515080659e-16	9.64218852953922e-13	0	0	5.7973992801579	207.94282969221	ZNF274;GMEB2;WIZ;BAZ2A;PRDM2;ZNF3;IKZF2;IKZF4;PHF21A;AFF1;ZNF629;POLR2A;ZNF506;SNAPC4;E2F1;PLAGL2;ZNF668;E2F3;ZNF688;PKNOX1;ZNF444;ESRRA;MLXIP;KLF12;ZFHX2;TFEB;ZNF10;PAX5;POU2F2;FOXP3;NCOR2;GON4L;SP2;TLX1;ZFP64;REL;TUT1;ZSCAN2;ZNF574
2	EIF2AK3 knockdown 96h PC3	32/300	2.94731371706160e-11	5.37000559248624e-08	0	0	4.56633168817268	110.722318809589	ZNF133;GMEB1;AKAP8L;WIZ;BAZ2A;PRDM2;ZNF3;PHF8;ZBTB40;POLR2A;ZNF506;E2F1;DPF3;ZKSCAN5;ZNF688;ZNF444;TP63;ZNF287;ZNF484;ZNF384;KLF12;TRMT1;PAX5;ZNF79;FOXP3;RUNX1;GON4L;SP2;TUT1;ATF7;ZNF696;TAF1
3	RET knockdown 96h HA1E	30/300	5.97246611115031e-10	5.44091662725793e-07	0	0	4.23192239858906	89.8804921760609	ZNF177;PRDM8;GMEB2;BAZ2A;NRF1;ZNF8;NR3C1;AFF3;PHF21A;IKZF5;ZNF7;ZBTB40;YY1;YY2;ZNF408;ZNF304;ZKSCAN5;ZNF787;ZKSCAN4;ZNF764;ZFP37;ZNF180;RFX1;POU6F1;HIC2;ZFP64;ZNF778;MAFK;ZNF576;ZNF696
4	SCNN1A knockdown 96h HEPG2	30/300	5.97246611115031e-10	5.44091662725793e-07	0	0	4.23192239858906	89.8804921760609	ZNF133;RBPJL;GMEB2;ONECUT1;ZBTB48;BAZ2A;NRF1;ELK1;PRDM10;ZBTB3;RNF2;PHF8;ELK4;MECP2;YY2;E2F1;ZKSCAN4;ZNF324;ZNF500;RREB1;CCDC71;CPSF4;ZNF460;PAX3;ZNF79;POU6F1;SP2;ATF7;ZSCAN2;ZNF574
5	BUB1B knockdown 96h A549	26/300	1.54649512381221e-07	7.04428528896462e-05	0	0	3.58491867348698	56.2190692288857	AKAP8L;ZBTB48;PRDM2;ZNF3;MECP2;ZNF629;POLR2A;MYC;ZNF407;SNAPC4;ZKSCAN5;ZNF787;ZNF324;ZNF764;RBM10;ZNF484;ZNF440;CPSF4;JUN;ZNF460;RFX1;ZNF79;PML;SNAI1;CBLL1;TAF1
6	STK33 knockdown 96h A549	26/300	1.54649512381221e-07	7.04428528896462e-05	0	0	3.58491867348698	56.2190692288857	PPP1R10;ZC3H4;SRF;ZBTB43;BAZ2A;PRDM2;GPATCH8;IKZF4;MECP2;NHLH2;RREB1;ESRRA;ZNF484;ZFHX2;TRMT1;HELZ;ZNF79;FOXP3;RUNX1;NCOR2;TLX1;MAFK;LMX1B;ZNF576;RCOR1;ZSCAN2
7	SCNN1A knockdown 96h HA1E	26/300	1.54649512381221e-07	7.04428528896462e-05	0	0	3.58491867348698	56.2190692288857	ZNF550;ZNF274;PPP1R10;ZNF292;ZBTB43;PRDM13;ZNF3;GLI1;ZNF8;NHLH2;MYB;DPF3;ZNF304;ZKSCAN5;ZKSCAN4;ZNF324;NFRKB;MLXIP;CPSF4;ZFHX2;TFEB;TBX6;ZNF79;TERF2;SP2;ZNF778
8	STK25 knockdown 96h HCC515	26/300	1.54649512381221e-07	7.04428528896462e-05	0	0	3.58491867348698	56.2190692288857	PRDM8;PPP1R10;ONECUT1;ZBTB43;BAZ2A;PRDM2;ZNF3;IKZF2;IKZF4;ZBTB3;SIX5;HIVEP1;ZKSCAN3;DPF3;PLAGL2;DVL3;ZNF646;ZNF688;ZKSCAN4;ZFP37;ZNF264;ZNF484;ZFHX2;ZNF79;FOXP3;ATF7
9	PAK4 knockdown 96h HA1E	25/300	5.59991357887179e-07	0.00017005070901174	0	0	3.42757635292016	49.3411423512586	ZNF551;RBPJL;ATF2;ZNF550;SRF;PRDM2;ZNF3;NRF1;NR3C1;NR2C1;RNF2;POGZ;PLAGL2;NFRKB;ZBED4;GABPA;ZNF343;SETDB1;IRX5;TRMT1;ZNF79;HOXB9;ZBTB6;TLX1;ATF7
10	PRPF4B knockdown 96h HT29	25/300	5.59991357887179e-07	0.00017005070901174	0	0	3.42757635292016	49.3411423512586	ZNF177;NRF1;CHD2;CHD1;NR2C1;ZBTB40;ELK4;CUX1;HSF2;ZKSCAN5;NFRKB;ZNF202;ZBED4;ZNF287;ESRRA;TSC22D2;ARID3A;ETV3;FOSL2;POU6F1;HIC2;ZNF639;SP4;ZNF318;ZNF696
11	MELK knockdown 96h PC3	25/300	5.59991357887179e-07	0.00017005070901174	0	0	3.42757635292016	49.3411423512586	ZNF133;ZNF550;PRDM2;ZNF3;IKZF3;PHF21A;ELK4;HIVEP1;ZKSCAN5;ZNF688;ZNF202;ZNF484;ZNF142;KLF12;ZNF460;TBX6;ZNF79;RUNX1;NCOR2;NCOR1;GON4L;SP2;ZFP64;ATF7;ZNF696
12	TP53RK knockdown 96h PC3	25/300	5.59991357887179e-07	0.00017005070901174	0	0	3.42757635292016	49.3411423512586	ZNF771;FOXC1;HOXD11;GPATCH8;GLI2;MECP2;ZNF609;ZNF629;ZNF205;ZNF688;CIC;ZNF764;ZNF287;ZFHX2;PAX3;ZNF76;FOS;ZNF79;TBX19;RUNX1;FOSL2;SSH1;NCOR2;KLF6;BHLHE40
13	AXL knockdown 96h A375	24/300	1.94160610597291e-06	0.000294800527090221	0	0	3.27195225916454	43.0326998762015	PPP1R10;MAX;DOT1L;NFATC1;ZNF3;ZNF79;AFF3;BACH1;PRDM10;RELA;RNF2;ARNTL;ZNF7;NCOR2;IRF4;ZXDB;HSF1;ERF;ZNF668;ZKSCAN5;MAFK;PKNOX1;ZNF576;ZNF696
14	FGFR4 knockdown 96h A549	24/300	1.94160610597291e-06	0.000294800527090221	0	0	3.27195225916454	43.0326998762015	ZNF771;ATF2;GMEB2;ZNF460;PPP1R10;AKAP8L;NRF1;ZNF79;AFF3;ETV3;TBX19;IKZF5;ELK4;ZC3H7A;TLX1;SP4;ZKSCAN3;ATF7;ZKSCAN5;ZNF710;WHSC1;ZNF236;CBLL1;ZNF343
15	GPBAR1 knockdown 96h A549	24/300	1.94160610597291e-06	0.000294800527090221	0	0	3.27195225916454	43.0326998762015	ZBTB39;ZNF550;ZNF460;ONECUT1;WIZ;TCF20;PRDM2;ZNF79;ETV3;PRDM10;AFF1;RNF2;RUNX1;ZNF7;YY2;ZXDC;SNAPC4;ZNF768;LMX1B;NFRKB;RREB1;ZNF696;RBM6;TAF1
16	NR2C2 knockdown 96h A549	24/300	1.94160610597291e-06	0.000294800527090221	0	0	3.27195225916454	43.0326998762015	MLXIP;ZNF484;ZNF550;CPSF4;CIZ1;ZNF460;SRF;TSC22D2;ONECUT1;PRDM2;OVOL1;ZNF79;PML;NR2F6;YY2;ZNF407;ZFP64;SNAPC4;SNAI1;UBTF;PKNOX1;ZNF324;ZNF444;ZNF134
17	PRKDC knockdown 96h A549	24/300	1.94160610597291e-06	0.000294800527090221	0	0	3.27195225916454	43.0326998762015	ZNF484;ZNF550;CPSF4;ZNF142;ZFHX3;CIZ1;PRDM9;FOXH1;ZNF180;ZNF10;RFX1;ZNF3;ZNF79;AFF3;BACH1;PML;POU6F1;POLR2A;MYB;DVL3;ZNF304;PKNOX1;ZNF324;ZNF696
