Node	Degree	Color	Type
EGFR	8	blue	Kinase
KDM1A	5	pink	Transcription_factor
NR1H3	3	green	Interacting_protein
YWHAE	3	green	Interacting_protein
BUB1B	3	blue	Kinase
EP300	3	pink	Transcription_factor
F2RL1	3	blue	Kinase
NRAS	2	green	Interacting_protein
TSC22D1	2	green	Interacting_protein
BMPR1A	2	blue	Kinase
CHRM3	2	blue	Kinase
CSNK1E	2	blue	Kinase
IGF1R	2	blue	Kinase
OXTR	2	blue	Kinase
SETDB1	2	pink	Transcription_factor
SIRT2	2	green	Interacting_protein
YIPF3	2	green	Interacting_protein
YWHAQ	2	green	Interacting_protein
GTF2B	1	pink	Transcription_factor
HSF1	1	pink	Transcription_factor
NR2F1	1	green	Interacting_protein
SEPTIN6	1	green	Interacting_protein
SF3B2	1	green	Interacting_protein
ZNF436	1	green	Interacting_protein
ATF2	1	pink	Transcription_factor
BAP1	1	green	Interacting_protein
CDK4	1	blue	Kinase
CSNK1A1	1	blue	Kinase
FES	1	green	Interacting_protein
KAT7	1	green	Interacting_protein
MAPKAPK3	1	blue	Kinase
MST1R	1	blue	Kinase
RIPK1	1	blue	Kinase
SEPTIN2	1	green	Interacting_protein
SH3BGRL	1	green	Interacting_protein
SH3KBP1	1	green	Interacting_protein
SHC3	1	green	Interacting_protein
TNFRSF11A	1	green	Interacting_protein
TNS4	1	green	Interacting_protein
TOM1L1	1	green	Interacting_protein
TRIM38	1	green	Interacting_protein
YIPF1	1	green	Interacting_protein
ZNF189	1	green	Interacting_protein
ZNF331	1	green	Interacting_protein
ITGB3BP	1	green	Interacting_protein
LEF1	1	pink	Transcription_factor
MAPK14	1	blue	Kinase
SFRP4	1	green	Interacting_protein
KAT2B	1	green	Interacting_protein
COMMD7	1	green	Interacting_protein
ZNF227	1	pink	Transcription_factor
ZNF510	1	pink	Transcription_factor
PRKDC	1	blue	Kinase
ABHD14A	1	green	Interacting_protein
CNN3	1	green	Interacting_protein
RXRA	1	blue	Kinase
MTOR	1	blue	Kinase
PRKCI	1	blue	Kinase
DYRK1A	1	blue	Kinase
PTK2	1	blue	Kinase
