	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	SIX5 H1-hESC hg19	66/1258	2.02977170640723e-05	0.016562937124283	0	0	1.81441139125703	19.6047189619951	ZNF331;INVS;ZNF570;ZNF691;TPGS1;ZFYVE1;ZNF449;ZNF569;KAT7;ZNF688;JARID2;NUDT13;TRIM23;ZNF485;ZNF484;ZNF284;ATP6V1G2;FBXO15;JOSD2;TRPC4AP;SIRT2;FAM189B;BDH2;ZFYVE19;ZNF436;ZNF358;ZNF233;ZNF155;SF3B2;SEL1L;TMTC3;ZNF24;TOR1AIP1;ZFP14;FAM168A;CNPY4;NTHL1;ZNF549;ZNF546;ZNF667;ZNF226;TSNAXIP1;ZNF302;ZNF268;ZNF224;ZNF586;TRMT1L;ZNF222;ZNF189;TRAPPC3;ZNF461;ZNF582;ZNF140;ZNF260;FAM78A;TRAPPC4;FBXL19;ZNF181;ZFC3H1;ZNF32;NR1H3;TMEM59;CNOT6;NUCB1;CNIH4;BET1
2	GABPA HL-60 hg19	118/2724	8.91584529245167e-05	0.0280445615210552	0	0	1.50990755390909	14.0800319873061	ZNF570;ZNF691;TMEM41B;ZBTB26;TPGS1;COX6A1;ZDHHC4;NUB1;ZNF569;TRAPPC11;BANF1;ZNF687;FBXO8;AZI2;NUDT13;ZNF561;ZNF284;ZNF160;NSMCE1;CNPY3;ZCRB1;FBXW2;FAM8A1;ZNF155;ZNF397;ATP6V1A;ZNF671;FAM149B1;COX16;ZNF391;TPRG1L;COPS7A;COX7A2;ZNF23;ZNF24;ZBTB5;TOR1AIP1;NTHL1;ZNF549;ZKSCAN3;ZKSCAN5;ZNF425;ZNF546;ZNF302;ZNF268;TRMT1L;TRAPPC1;ZNF140;TMEM50A;TRAPPC4;TMEM192;BFAR;COPS4;TMEM234;ZFP62;NOXA1;SERINC1;INVS;ABCD4;TSEN15;ZBTB8OS;ATP7A;ZIK1;ZNF485;ZER1;TRPT1;JOSD2;SIRT2;SIRT3;COMMD5;ZADH2;ZNF517;TMEM216;ZNF513;FAM32A;ZNF512;SEC22B;B4GALT7;ITGB3BP;ZNF233;BCAT2;SF3B2;ZNF197;TMF1;ZNF518A;ZBTB45;NPL;NSL1;FAM168A;TMEM203;TMEM68;ZNF226;ZNF585B;YKT6;ZNF224;ZNF586;ZNF740;ZNF222;FDXACB1;ZNF461;TMEM30A;YTHDF3;YIPF3;B3GAT3;FBXL17;ZFC3H1;NR1H3;TMEM60;TMUB2;TMEM59;KBTBD4;ZNF616;XPNPEP3;NUCB1;ZNF579;COPG2;TRIP12;FAM50B
3	ZNF384 GM12878 hg19	91/2000	0.00012502330492655	0.0280445615210552	0	0	1.57127608053214	14.1210744748566	ABCD4;TRAM1;B4GALT1;TMEM41B;SH3KBP1;TSEN15;KCNC3;IPP;ZBTB8OS;TMEM53;TSPAN12;TPGS2;ZDHHC4;TMEM220;KCNT1;SFR1;YWHAQ;BLNK;BBX;TNR;ZNF569;TRAPPC11;AZI2;ZNF484;TSC22D4;ZER1;TRPT1;TRPC4AP;SIRT2;FBXW2;NRBP1;TPST1;AZGP1;ZNF638;ZNF436;FAM32A;SEC22B;ATP6V0D1;SFT2D1;B4GALT7;BCAT2;ZNF671;COX16;TSHZ1;TMTC3;COPS7A;COX7A2;ZNF23;ZBTB4;TMEM241;NRAS;SH3BGRL;ZFP14;FGGY;CNPY4;NTHL1;TMEM67;XRRA1;TMEM68;ZKSCAN5;ZNF425;ZNF302;YKT6;ZBED5;ZNF586;FDXACB1;ZNF189;TMEM30A;JUP;ZNF260;B3GAT3;FBXL17;BFAR;TRERF1;TMEM60;KBTBD3;KBTBD4;FAM167A;CNOT7;ZNF616;XPNPEP3;NOXA1;ZNF658;TOMM7;ZNF579;TPP1;FBXL2;B9D2;CLEC2D;CLUAP1;CNIH4
4	CTCF fibroblast of upper leg skin hg19	78/1665	0.000163012865566863	0.0280445615210552	0	0	1.61043283306701	14.04568213509	ABCD4;TRAM1;ZNF691;SH3KBP1;IPP;ZDHHC1;CLU;CLYBL;TPGS2;SGCE;COIL;KCNT1;TOM1;ZNF569;TRAPPC11;SH3BGRL3;NUDT17;KAT7;XYLB;ZNF485;ATP6V1G2;ITGA1;TOMM20L;NSMCE1;TRPT1;NRG2;COMMD6;TRPC4AP;COQ10A;COMMD5;CLIP3;KAT2B;TPST1;SFRP4;FAM189B;TMX4;BDH2;NSMCE4A;FCHSD2;ZFYVE19;FAM161B;ZNF555;FAM8A1;BCAT2;SF3B2;ZNF197;FAM149B1;COX16;FBXO43;NSL1;TOR1AIP1;FAM171A2;COMMD8;NTHL1;COBLL1;ZKSCAN5;ZNF425;ZNF302;ZNF268;YKT6;BCL9L;BBS2;ZNF582;ZNF140;ZNF260;B3GAT3;SEMA4F;COPS4;KBTBD4;TPPP3;CNOT7;ZFP62;NOXA1;TOMM7;NUCB1;CLUAP1;BAP1;FAM50B
5	SIX5 GM12878 hg19	65/1334	0.0002044777497486	0.0280445615210552	0	0	1.66838160677132	14.1729874902996	ZNF331;INVS;ZNF691;TPGS1;ZFYVE1;SEC61A1;ZNF449;SH3BGRL2;ZNF569;BBS9;KAT7;AZI2;NUDT13;ZNF485;ZNF484;ZNF284;TRPC4AP;COQ10A;SIRT2;TSN;FAM189B;BDH2;ZNF513;FAM32A;ZNF358;B4GALT7;ISCU;ZNF233;ZNF155;SF3B2;FAM149B1;COX16;SEL1L;TMTC3;ZNF24;NSL1;ZFP14;FAM168A;NTHL1;XRRA1;ZNF549;ZKSCAN5;ZNF546;ZNF226;ZNF302;ZNF268;ZNF224;ZNF586;TRMT1L;ZNF222;B3GALNT2;TRAPPC3;ZNF461;ZNF582;ZNF140;ZNF260;ZFC3H1;ZNF32;TMEM59;KBTBD4;ZNF658;NUCB1;ZNF613;CNIH4;BET1
6	GABPA HepG2 hg19	107/2471	0.000206210011184229	0.0280445615210552	0	0	1.49832194328679	12.7156821330665	ZNF572;ZNF691;ZBTB26;TPGS1;COMT;COX6A1;ZFYVE1;ZDHHC4;NUB1;ZNF569;TRAPPC11;NUDT13;NUDT12;ZNF561;ZNF285;ZNF284;ATP6V1G2;ZNF160;NSMCE1;ZCRB1;TMX1;ATP6V0D1;FAM8A1;ZNF155;ZNF397;FAM149B1;COX16;COX18;SEL1L;ZNF23;NTPCR;SDSL;ZNF24;FBXO43;NTHL1;ZNF549;ZKSCAN3;ZKSCAN5;ZNF425;ZNF546;ZNF268;TRMT1L;TRAPPC3;TRAPPC1;TRAPPC4;TMEM234;ZFP62;ZNF658;SERINC1;FBXL4;BAP1;ITGB1;ABCD4;TSEN15;ZNF43;TMEM53;SERPINA5;SEC61A1;JAK3;ZNF485;TSC22D4;ZER1;ATP6AP2;ZDHHC13;TRPT1;COMMD6;COQ10A;SIRT2;ITFG1;SIKE1;NSMCE4A;BBS12;ZNF517;ZNF513;ZNF512;SEC22B;B4GALT7;ITGB3BP;ZNF233;SF3B2;ZNF197;TMF1;CLCN3;NSL1;ZFP14;TMEM203;TMEM67;TMEM68;ZNF585B;YKT6;ZNF224;ZNF740;ZNF222;ZNF461;ZNF582;YIPF1;YTHDF3;YIPF3;B3GAT3;ZFC3H1;TMUB2;TMEM59;KBTBD4;TMLHE;ZNF616;XPNPEP3;ZNF579
7	GABPA K562 hg19	69/1494	0.000587811428712762	0.0685220179756591	0	0	1.57491228070175	11.7159368155118	ZNF331;ABCD4;ZNF572;ZNF691;COX4I1;ZBTB26;ZNF43;TMEM53;COMT;COX6A1;ZFYVE1;ZDHHC4;SEC61A1;NUB1;IQUB;ZNF449;TRIM24;ZNF569;TRAPPC11;NUDT13;ZNF485;ZNF441;BATF2;ZNF561;TSC22D4;ZNF285;ZNF284;ZER1;NSMCE1;ZCRB1;COMMD6;COQ10A;FBXW2;XRN1;BBS12;ZNF517;ZNF513;ZNF512;SEC22B;ATP6V0D1;B4GALT7;ITGB3BP;ZNF233;ZNF397;ZNF671;COPB2;ZNF197;FAM149B1;COX16;NSL1;SGPL1;ZFP14;TMEM67;ZNF226;ZNF585B;ZNF586;ZNF222;NQO1;ZNF461;ZNF582;ZNF182;COPS4;KBTBD4;TMEM234;TMLHE;ZFP62;XPNPEP3;FBXL4;FAM50B
8	ELF1 SK-N-SH hg19	88/2030	0.000786467357038465	0.0802196704179234	0	0	1.48244300473584	10.5964423223279	ZNF331;ITGB1;INVS;ABCD4;ZNF572;TMEM41B;COX4I1;ZNF43;ZBTB8OS;ZFYVE1;FDXR;NUDT18;ZNF569;ZNF766;BANF1;ATP7A;AZI2;NUDT13;ZNF485;ZNF285;ZNF284;ZNF160;ZDHHC13;TRPT1;JOSD2;ZCRB1;COMMD6;TRPC4AP;SIRT2;FBXW2;ITFG1;IQCH;ZFYVE16;FAM32A;ZNF512;SEC22B;SFT2D2;ATP6V0D1;SFT2D1;ITGB3BP;ZNF155;ZNF397;SF3B2;ZNF197;TMF1;COX16;COPB1;SEL1L;COPS7A;ZDHHC21;SDSL;ZNF24;TOB1;NRAS;ZFP14;FAM168A;TMEM203;NTHL1;BLOC1S3;ZNF549;ZKSCAN3;ZKSCAN5;ZNF226;ZNF302;ZNF268;YKT6;ZNF224;ZNF222;ZNF189;ZNF461;YIPF1;ZNF140;YIPF3;B3GAT3;TRAPPC4;ZNF182;ATP2B4;ZFC3H1;BFAR;TMUB2;TMEM59;TMEM234;ZFP62;NOXA1;TOMM7;SERINC5;BAP1;FAM50B
9	SREBF1 GM12878 hg19	58/1234	0.00107813039359373	0.0885817569063481	0	0	1.59461280071531	10.8952347842196	ZNF331;INVS;ZNF570;ZNF691;ATP8A1;TPGS1;ZFYVE1;ZDHHC2;ZNF569;BANF1;JARID2;ZNF485;ZNF561;ZER1;COG5;ZNF160;FAM24A;COMMD6;TRPC4AP;SIRT2;IQCH;FAM189B;FCHSD2;ZFYVE19;ZNF436;ZNF513;B4GALT7;ZNF155;SF3B2;SEL1L;TMTC3;ZBTB4;ZFP14;NTHL1;ZNF549;ZKSCAN5;TSNAXIP1;ZNF302;ZNF268;YKT6;ZNF224;ZNF586;ZNF740;TRMT1L;B3GALNT2;ZNF461;ZNF140;FAM78A;TRAPPC4;FBXL19;ZNF32;TMEM59;CNOT6;NOXA1;NUCB1;TRIP12;CNIH4;FGF11
10	GABPA SK-N-SH hg19	91/2142	0.00119399729075301	0.0885817569063481	0	0	1.45060209929809	9.76320277128237	ABCD4;ZNF572;ZNF691;TMEM41B;COX4I1;ZBTB26;ZNF43;COX6A1;ZFYVE1;COIL;SEC61A1;NUB1;ZNF569;ATP7A;NUDT13;ZIK1;ZNF485;ZNF441;TSC22D4;ZNF285;ZNF284;ZER1;ZNF160;ZFP3;NSMCE1;ZCRB1;COMMD6;COQ10A;SIRT2;FBXW2;ITFG1;SIKE1;NSMCE4A;BBS12;ZNF517;ZNF513;FAM32A;ZNF512;ATP6V0D1;FAM8A1;SFT2D1;B4GALT7;ITGB3BP;BCAT2;ZNF155;ZNF397;SF3B2;ZNF197;TMF1;FAM149B1;COX16;SEL1L;ZDHHC21;ZNF23;SDSL;FBXO43;CLCN3;NSL1;ZFP14;TMEM203;NTHL1;TMEM67;TMEM68;ZKSCAN3;ZNF585B;ZNF268;YKT6;ZNF224;ZNF586;ZNF740;TRMT1L;ZNF222;ZNF461;TRAPPC1;YIPF1;YTHDF3;YIPF3;B3GAT3;TRAPPC4;BFAR;TMEM60;TMUB2;COPS4;KBTBD4;TMEM234;ZFP62;XPNPEP3;ZNF658;NUCB1;SERINC1;COPG2
