	Term	Type	Overlap	P.value	Adjusted.P.value	Genes
1	SETDB1	human tf ARCHS4 coexpression	26/299	1.46818684752742e-08	2.52234500405211e-05	ZNF276;SETD5;SF3B3;ZNF592;NUFIP2;SFSWAP;ZNF609;TRIM28;SIN3B;ZNF507;XPO6;XPO5;FAM53B;FBRS;CLUH;SF3A2;AXIN1;NUP153;ATXN2L;SFPQ;NPLOC4;CNOT3;ZNF316;BCOR;ZNF598;SF1
2	ISL2	human tf ARCHS4 coexpression	25/299	6.02677583731747e-08	3.4513336295038e-05	TOMM40;ZMYND19;TRMT2A;IPO4;COCH;TMEM201;TRIM28;XPO6;ZNF703;ABL1;ABCF1;CLUH;SF3A2;AXIN1;NUP153;YDJC;ATXN2L;YRDC;SERBP1;CNOT3;ZNF777;BCOR;FARSA;ZNF598;TRIM11
3	GATAD2B	human tf ARCHS4 coexpression	25/299	6.02677583731747e-08	3.4513336295038e-05	SETD5;SETD2;ZNF592;NUFIP2;SFSWAP;BACH2;ZNF609;TNPO2;ZNF142;AUTS2;SFMBT2;NUP153;ATXN2L;BCL9;SFPQ;SETBP1;KANSL1;KAT6A;CNOT3;SIK3;AAK1;FAM193A;BCOR;TNRC6A;SF1
4	FOXC1	human tf ARCHS4 coexpression	24/299	2.36765498466422e-07	6.77938543942188e-05	B4GALT2;CLUH;SF3B3;TOMM40;SF3A2;ZMYND19;NUFIP2;ZBTB21;NUP153;NRARP;COCH;ATXN2L;ISL2;TMEM201;TRIM28;ZNF628;SERBP1;CNOT3;ZNF777;BCOR;ZNF598;TNPO2;TRMT61A;TRIM11
5	MYC	human tf ARCHS4 coexpression	24/299	2.36765498466422e-07	6.77938543942188e-05	FEN1;ZNF593;CLUH;SF3B3;TOMM40;SF3A2;ZMYND19;NSUN2;TRMT2A;TRMT1;IPO4;NT5C;YRDC;TMEM201;TRIM28;ZNF408;BCOR;FARSA;ZNF764;ZNF598;TRMT61A;TRIM11;SF1;ZNF574
6	PPP1R10	human tf ARCHS4 coexpression	24/299	2.36765498466422e-07	6.77938543942188e-05	SETD5;ZNF142;CLUH;SF3B3;ZNF592;NUFIP2;TNFRSF10B;NUP153;TRAF1;ATXN2L;ZNF609;NUAK1;TRIM28;TRAF4;TRAF3;ZC3H12A;ZNF703;CNOT3;BCOR;ZNF598;TNPO2;FBRS;TRIM11;SF1
7	NKX2-4	human tf ARCHS4 coexpression	23/299	8.88933284387232e-07	0.000169687486953029	SF3B3;TOMM40;SF3A2;ZMYND19;SGTA;TRMT2A;NUP153;NRARP;IPO4;COCH;YRDC;ISL2;TMEM201;TRIM28;SERBP1;CNOT3;ZNF777;BCOR;FARSA;ZNF367;ZNF598;TRMT61A;TRIM11
8	MNX1	human tf ARCHS4 coexpression	23/299	8.88933284387232e-07	0.000169687486953029	CLUH;SF3B3;TOMM40;SF3A2;ZMYND19;CMTM4;AXIN1;TRMT2A;NRARP;SIPA1L3;IPO4;COCH;FAM83H;YRDC;ISL2;TMEM201;TRIM28;TRIB3;ZNF777;BCOR;ZNF598;TRMT61A;TRIM11
9	SRCAP	human tf ARCHS4 coexpression	23/299	8.88933284387232e-07	0.000169687486953029	ZNF142;CLUH;ZNF592;SF3A2;NUP153;SIPA1L3;ATXN2L;ZNF609;TMEM201;NPLOC4;TRIM28;SIN3B;ZNF703;CNOT3;CLPTM1;ABL1;ZNF316;ZNF777;BCOR;ZNF598;TNPO2;FBRS;SF1
10	ATF4	human tf ARCHS4 coexpression	22/299	3.18478726671911e-06	0.000420881886478725	B4GALT2;CLUH;TOMM40;SF3A2;ZMYND19;AXIN1;TNFRSF10B;NUP153;IPO4;ATXN2L;YRDC;TRIM28;TRAF4;ZNF703;SERBP1;CNOT3;TRIB3;ZNF777;BCOR;ZNF598;TNPO2;SF1
