	Term	Type	Overlap	P.value	Adjusted.P.value	Genes
1	ATF3	hg19	64/1433	7.99226335265188e-07	0.000652168689576394	FANK1;ZFAND2A;CLTB;TSEN2;BACH2;ZFYVE28;TMEM222;SENP5;XPO5;ZNF367;KCNH1;ABT1;ZNF121;KCNH4;FBXW7;IQCC;BAZ1B;ZEB1;TRAF4;TMEM79;SIK3;BIRC6;BDP1;ZNF598;IPPK;ZCCHC8;ZNF593;NUFIP1;INTU;NPRL3;ISG20L2;CLEC16A;TRMT2A;ZNF2;ZC3HAV1;FBXO42;BCL2L13;FAM83G;SEC14L1;ZNF507;ZC3H18;ATRIP;ZNF143;ZNF341;JUN;ZNF263;SF3A2;YTHDF2;FBXO38;XRCC2;SGTA;NR1D2;TRMT1;B3GALT6;NUP153;NR1D1;FBXO31;CLK1;BCL6;SERBP1;ZNF614;TRMT11;ABCE1;TRMT61B
2	NCOR1	hg19	73/2000	0.000142337195539347	0.0328492666110721	FANK1;SETD5;SETD2;ZNF131;ZNF250;ZC3H8;ZNF48;IPO4;BICD2;BAIAP2L1;TRAPPC12;JUNB;ZNF367;ZNF565;SEC13;ABCC1;TNFRSF12A;TSC22D2;TOMM34;FAM207A;ZBTB34;TRAF1;BAZ1B;YDJC;ATXN2L;TRAF4;KAT6A;CNKSR3;IRF2;KCTD13;TRIB3;ITGB1BP1;SEMA7A;NUMBL;TOMM40;ZBTB48;TRMT2A;ZC3HAV1;TRAK1;COCH;FBXO42;ZBTB2;NT5C;ZNF707;BAHD1;CLPTM1;ZNF746;ZNF622;ZBTB7B;ZNF621;ATRIP;BANP;ZNF143;ZNF341;JUN;ZNF142;YTHDF2;SEC24A;IRX5;SIAH2;TNFRSF10A;NUP153;NR1D1;FANCB;IRGQ;CLCF1;SERBP1;ZNF74;BHLHE40;BCOR;FAU;CKLF;ATR
3	JUN	hg19	131/4156	0.000231432354908077	0.0328492666110721	ZNF330;ZNF451;IRS2;ZDHHC7;AUP1;BACH2;IPO4;CNST;TNFRSF8;JUNB;SH2D5;ZNF565;KCNH4;FBXW11;COG3;TOMM34;ISL2;TMEM79;KCTD13;SIK3;TRIB3;TRIM11;SF1;ZNF276;IPPK;ZCCHC8;INTU;YTHDC1;ABHD2;NPRL3;ISG20L2;CLEC16A;FBXO48;ZNF22;TRMT2A;FBXO42;BCL2L13;FAM83G;ATXN2;BAG5;SEC14L1;ZNF707;ZNF668;NRBF2;ZBTB7B;COX10;BANP;ZNF143;JUN;ZNF263;FBXO38;XRCC2;ZBTB10;TNFRSF10B;B3GALT6;NUP153;NR1D1;ZBTB11;FBXO31;ZC3HC1;CLK1;NR4A2;NR4A3;BCL6;BHLHE40;AAK1;ZNF778;INTS7;ZNF653;ZNF410;ATR;SETD5;TRMU;SETD6;ZFAND2A;CLTB;TNFAIP3;ZNF48;TMEM222;SERP1;XPO4;TMEM44;ZNF408;ZNF280C;XPO5;ZNF367;TNPO2;IQCB1;ZNF121;SEC13;TNFRSF12A;NSUN5;TSC22D2;ZFR;IQCC;COQ10B;YDJC;SFPQ;TRAF6;BIRC6;ITGB1BP1;BDP1;ZNF598;ZNF593;SF3B3;TOMM40;ZBTB49;ZBTB43;ZNF2;ZNF628;FAM184A;BEND3;ZNF622;SH2B3;TRIM44;ZNF341;SF3A2;YTHDF2;IRX5;SGTA;FBXL18;TRMT1;FBXL12;IRGQ;TRMT6;ZNF614;FAU;ABCE1;TRMT61A;KBTBD8;TRMT61B
4	MYC	hg19	72/2000	0.000240062359509114	0.0328492666110721	AVEN;ZNF131;SH2D4A;SETD6;ZC3H8;AUP1;IPO4;ZDBF2;TMEM222;CNST;BAIAP2L1;SERP1;TRIM28;TMEM44;ZNF408;XPO6;SH2D5;ZNF202;ZNF565;TNPO2;ABT1;ZNF121;KCNH4;NSUN5;SFMBT1;NSUN2;ZFR;TOMM34;AXIN1;FAM207A;TRNAU1AP;CNKSR2;SFPQ;TRAF4;ITGB1BP1;ZNF276;IPPK;ZNF593;NUMBL;SF3B3;NUFIP1;ZBTB49;NPRL3;SGMS2;NRF1;ATXN2;TMEM201;SEC14L1;ZNF628;SERTAD2;ZNF746;ATRIP;SH2B3;CNNM4;CMTM7;SF3A2;SIAH2;SGTA;B3GALT6;TNFRSF10A;ZBTB11;TNFRSF10D;CLK1;YRDC;CLCF1;TRMT6;SFXN4;FARSA;TRMT61A;KBTBD8;TRMT61B;FARSB
5	MYC	hg19	198/6800	0.000285662316382212	0.0328492666110721	FAM89A;ZDBF2;ZFYVE28;CNST;BAIAP2L1;FGFR1OP2;ZC3H12A;FBXO4;FAM53B;ATXN7L2;ABT1;SFMBT1;COG3;ISL2;KATNAL1;BIN1;TMEM79;KCTD13;ZFPM1;TRIM11;SF1;ZNF276;NUMBL;NPRL3;ZNF22;TRMT2A;ZC3HAV1;SEC14L1;ZNF707;NRBF2;ATRIP;NR2C2AP;BANP;ZNF143;ZNF142;ZNF263;SIAH2;NR1D2;NR1D1;FAM160A1;NPLOC4;SFXN4;INTS7;TRMT11;FARSA;FARSB;ATR;SETD2;ZNF131;FEN1;SETD6;ZNF48;SH3RF1;SERP1;NUDCD1;XPO4;TMEM44;XPO6;ZNF280C;XPO5;ZNF367;ZNF121;SEC13;NSUN5;NSUN2;NSUN3;ZFR;BAZ1B;COQ10B;TOMM40L;ZDHHC14;ZNF598;ZNF597;ZNF593;SF3B3;ZNF592;SELPLG;TOMM40;ZNF2;NT5C;ZDHHC18;SERTAD2;SF3A2;YTHDF2;TRMT1;NR6A1;SGSM3;SERBP1;TRMT6;ZNF74;FAU;KBTBD8;ZNF574;ZNF330;AUP1;TSEN2;IPO4;TNFRSF8;ZNF689;ZNF202;ZNF565;ZBTB39;KCNH4;TOMM34;ATXN2L;CLIP1;TMX2;ZNF317;IPPK;ZCCHC8;SEMA7A;ABHD2;ISG20L2;CLEC16A;NRF1;FBXO42;FAM83H;BCL2L13;FAM83G;ATXN2;BAG5;BAG2;ZC3H18;COX10;FBXO38;ZBTB10;TNFRSF10B;B3GALT6;TNFRSF10A;ISG15;NUP153;FANCB;ZBTB11;FBXO30;FBXO31;CNOT4;ZC3HC1;CLK1;NR4A2;YRDC;BHLHE40;ZNF778;ZNF655;ZNF410;ZNF530;AVEN;B4GALT2;ZMYND19;ZC3H8;TNFAIP3;TMEM222;SENP5;ZNF408;SERAC1;ZNF764;TNPO2;IQCB1;AXIN1;FAM207A;IQCC;TRNAU1AP;YDJC;SFPQ;NPC1;TRAF4;TRAF3;IRF2;BIRC6;TRIM56;NUFIP1;SFSWAP;ZBTB49;ZBTB48;JAKMIP1;IWS1;TMEM201;ZNF628;BAHD1;BEND3;ZNF622;ZNF621;ZNF620;TRIM44;SEC24A;FEM1A;CMTM4;CNBP;SGTA;YY1AP1;TRIT1;KANSL2;TRIM35;BCOR;ABCE1;TRMT61A;CKLF;TNRC6A;TRMT61B
6	SRF	hg19	71/1986	0.000326043699182984	0.0328492666110721	TRMU;ZNF330;ZNF451;ZFAND2A;AUP1;IPO4;ZFYVE28;TMEM222;SENP5;XPO4;ZNF408;TRAPPC12;JUNB;ABT1;SEC13;NSUN5;FBXW11;COG3;FAM207A;YDJC;TMX2;KAT6A;TMEM79;BDP1;ZNF276;IPPK;NUMBL;SF3B3;NUFIP1;SELPLG;YTHDC1;KATNB1;TRMT2A;ZNF2;JAKMIP1;BAG2;ZNF628;ZNF668;ZC3H18;NRIP3;SHOC2;ZBTB7B;ATRIP;TRIM44;ZNF341;ZNF142;ZNF263;YTHDF2;FEM1A;FBXL18;TRMT1;ISG15;ZBTB11;YY1AP1;ZC3HC1;NR4A2;IRGQ;NPLOC4;NR4A3;TRMT6;ZNF74;BHLHE40;ZNF614;ZNF778;FAU;ABCE1;ZNF653;TNRC6A;TRMT61B;ZNF530;ATR
7	SETDB1	hg19	101/3067	0.000334679047949717	0.0328492666110721	ZNF330;ZNF451;ZDHHC7;AUP1;IPO4;BEST4;BAIAP2L1;FGFR1OP2;FBXO4;TRAPPC12;TNFRSF8;FAM53B;ZNF565;KCNH1;ABT1;FBXW11;SFMBT2;TOMM34;ISL2;KATNAL1;TMEM79;ZNF317;KCNQ5;ZCCHC8;SEMA7A;YTHDC1;NPRL3;TRANK1;ZNF22;TRMT2A;ZC3HAV1;CORO1C;FBXO42;ATXN2;SEC14L1;BAG2;ZNF668;NRBF2;JUN;ZNF263;XRCC2;NR1D2;B3GALT6;TNFRSF10A;ISG15;NUP153;NR1D1;NPLOC4;SFXN4;INTS7;TRMT11;ZNF530;ATR;FANK1;AVEN;ZNF131;CLTB;SH3RF1;SERP1;NUDCD1;TMEM44;ZNF408;ZNF280C;XPO5;SERAC1;IQCB1;SEC13;NSUN5;ZFR;TRNAU1AP;BAZ1B;YDJC;ZNF639;CNKSR3;BDP1;NSRP1;ZNF473;NUFIP1;TOMM40;SFSWAP;ZBTB49;ZBTB43;IWS1;ZNF746;ZNF621;ZNF620;TRIM44;YTHDF2;IRX5;SGTA;TRIT1;FBXL12;SGSM3;SERBP1;TRMT6;ZNF74;ZNF614;BCOR;FAU;CKLF;TRMT61B
8	YY1	hg19	85/2496	0.000386844021527031	0.0328492666110721	ITSN2;FEN1;FASTKD2;AUP1;BICD1;TMEM222;TMEM223;SERP1;SENP5;SIN3B;XPO4;ZNF408;ZC3H12A;BCL7B;FBXO4;ZNF689;ZNF764;ATXN7L2;ZNF565;ABT1;ZNF121;TRNAU1AP;BAZ1B;TOMM40L;TRAF4;TMX2;KAT6A;TMEM79;ZNF317;SIK3;ITGB1BP1;TSNARE1;BDP1;NSRP1;SF1;ZNF276;IPPK;SF3B3;ZNF592;NUFIP1;NUFIP2;INTU;YTHDC1;SFSWAP;TRMT2A;ZNF2;NRF1;IWS1;FBXO42;BCL2L13;BAG5;ZNF507;ISOC1;ABL2;ZC3H18;ZNF621;ATRIP;CNNM4;COX10;BANP;ZNF341;FEM1A;FBXO38;SGTA;FBXL18;TRMT1;B3GALT6;NUP153;ZBTB11;CLK4;TRIT1;FBXO31;CNOT4;ZC3HC1;COPS3;ZNF74;CNOT3;ZNF614;ZNF655;TRMT11;FAU;FARSA;KBTBD8;TNRC6A;TRMT61B
9	MYC	hg19	71/2000	0.000398539784904838	0.0328492666110721	ZNF330;FEN1;ZNF250;SETD6;ZFAND2A;ZC3H8;AUP1;TSEN2;IPO4;ZDBF2;TMEM222;CNST;SERP1;XPO4;ZNF408;XPO6;FBXO4;TNFRSF8;ZNF202;TNPO2;ABT1;SEC13;NSUN5;TOMM34;TRNAU1AP;BAZ1B;YDJC;SFPQ;ZNF639;TMEM79;BIRC6;BDP1;ZNF593;TOMM40;ZBTB48;KATNB1;NRF1;IWS1;FBXO42;ATXN2;ZNF628;TRIM44;ZNF263;SF3A2;YTHDF2;FBXL18;TRMT1;B3GALT6;ISG15;NR1D1;ZBTB11;ABHD15;TNFRSF10D;FBXL12;CLK1;COPS3;YRDC;NR6A1;KANSL2;SGSM3;SERBP1;TRMT6;SFXN4;ZNF778;ZNF655;FAU;FARSA;ABCE1;TRMT61B;FARSB;ZNF574
10	GABPA	hg19	91/2724	0.000441745263888691	0.0328492666110721	TRMU;ZNF451;FEN1;SETD6;ZDHHC7;AUP1;IPO4;BICD2;TMEM222;TMEM223;CNST;SERP1;SENP5;NUDCD1;ZNF408;TRAPPC12;ZNF202;ZNF200;ZNF121;SEC13;NSUN5;FBXW11;COG3;FAM207A;ZBTB34;TRAF1;COQ10B;TMX2;TMEM79;ZNF317;BIRC6;TRIB3;ITGB1BP1;TSNARE1;ZNF598;ZNF597;TRIM11;ZNF276;SF3B4;IPPK;NUFIP1;SFSWAP;ZBTB49;ZBTB43;ZNF22;TRMT2A;ZNF2;NT5C;FAM83H;BCL2L13;ATXN2;SEC14L1;ZNF707;BAG1;CLPTM1;ZNF668;SHOC2;ZNF622;TRIM44;COX10;BANP;ZNF143;ZNF263;SF3A2;SEC24A;FEM1A;FBXO38;SGTA;FBXL18;NUP153;ZBTB11;FBXL12;ZC3HC1;COPS3;YRDC;NPLOC4;SH3BP5L;SERBP1;TRMT6;AAK1;TRIM35;ZNF778;ZNF655;TRMT11;FARSA;ZNF653;KBTBD8;ZNF410;TNRC6A;ZNF530;ATR
