	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
1	ZNF324	26/299	1.46818684752742e-08	2.5267495645947e-05	0	0	4.07428571428571	73.4864757834805	ZNF672;ZBTB48;TNFAIP3;IRS2;ZNF48;NPPC;ZNF707;TRIM28;ZNF408;ZNF628;ZC3H12A;CLPTM1;JUNB;BANP;JUN;TNFRSF12A;NR4A2;YRDC;NR4A1;BCL6;TRAF4;TRAF3;BHLHE40;TRIB3;ZFPM1;ZNF574
2	ZNF264	25/299	6.02677583731747e-08	3.45736040534112e-05	0	0	3.89442763040769	64.7427897134534	TRIO;SF3B3;NUFIP2;ABHD2;IRS2;BACH2;ITPRIPL2;ZNF609;SERTAD2;ZNF529;ZNF507;ITGB8;TNPO2;JUN;FBXW7;ZBTB10;TNFRSF10B;YOD1;ZEB1;BCL6;TRAF3;KAT6A;BHLHE40;AAK1;TNRC6A
3	ZNF805	25/299	6.02677583731747e-08	3.45736040534112e-05	0	0	3.89442763040769	64.7427897134534	ZNF451;NUFIP2;ZBTB43;IRS2;ZC3H12C;ZNF608;SERTAD2;ZNF529;ZNF507;ABL2;JUNB;JUN;SGTB;TSC22D2;ZBTB10;YOD1;NR1D2;ZBTB34;ZEB1;TRAF3;KAT6A;BHLHE40;AAK1;TRIB3;TNRC6A
4	ELF2	24/299	2.36765498466422e-07	5.0934177857589e-05	0	0	3.71662107803701	56.7014982996435	JUN;SETD2;ZHX2;TRIO;FBXW7;YTHDC1;JADE1;IRS2;NUP153;ATP2B1;BACH2;YY1;NR4A2;ZEB2;ZEB1;BCL6;KANSL1;TRAF3;KAT6A;BHLHE40;IRF2;BIRC6;BCOR;JUNB
5	ZNF26	24/299	2.36765498466422e-07	5.0934177857589e-05	0	0	3.71662107803701	56.7014982996435	ZCCHC8;ZNF121;ZNF473;ZNF451;ZNF263;JUN;ZNF131;TSC22D2;ZBTB21;TNFAIP3;TSEN2;CLK4;NR4A2;SFPQ;NR4A3;BCL6;ZNF529;TRAF3;BHLHE40;ZNF614;INTS6;ZNF655;JUNB;ZNF202
6	ZNF557	24/299	2.36765498466422e-07	5.0934177857589e-05	0	0	3.71662107803701	56.7014982996435	ZNF121;JUN;ZNF131;TRIO;NUFIP2;XRCC2;ZBTB10;TNFRSF10B;YOD1;TNFRSF10D;ITPRIPL2;ZC3H12C;ZEB1;SETBP1;ZNF529;TRAF3;BHLHE40;ZNF317;AAK1;ZNF614;ABL2;ZNF655;JUNB;ZNF200
7	ZNF574	24/299	2.36765498466422e-07	5.0934177857589e-05	0	0	3.71662107803701	56.7014982996435	JUN;FEN1;CLUH;TOMM40;YTHDF2;SF3A2;NUFIP2;XRCC2;KATNB1;IRS2;ATP5F1D;SFPQ;TRIM28;TRAF3;XPO6;BHLHE40;CNOT3;ZC3H18;FARSA;JUNB;ATRIP;TNPO2;TRMT61A;SF1
8	ZNF668	24/299	2.36765498466422e-07	5.0934177857589e-05	0	0	3.71662107803701	56.7014982996435	JUN;ZNF593;TOMM40;SF3A2;TNFRSF12A;NSUN5;IRS2;ISG15;ATP5F1D;YDJC;ZNF48;NR4A1;TMEM201;TRIM28;TRAF3;ZNF628;BHLHE40;TRIB3;JUNB;ZNF598;FBRS;TRMT61A;BCAR1;BANP
9	GPATCH8	23/299	8.88933284387232e-07	0.000101990278828695	0	0	3.54083885209713	49.3353704514157	SETD5;JUN;SETD2;TRIO;NUFIP2;YTHDC1;ZFR;IRS2;BAZ1B;ATXN2L;CNOT4;CLIP1;ATXN2;SFPQ;KANSL1;TRAF3;KAT6A;SERBP1;BHLHE40;AAK1;BIRC6;TNRC6A;SF1
10	ZBTB2	23/299	8.88933284387232e-07	0.000101990278828695	0	0	3.54083885209713	49.3353704514157	JUN;ZHX2;TNFRSF12A;TSC22D2;JADE1;TNFAIP3;NR1D2;IRS2;NUP153;FBXO30;YY1;NR4A2;NR4A1;SFPQ;BCL6;SERTAD2;TRAF3;BHLHE40;BEND3;B3GNT2;TRIB3;BCOR;JUNB
11	ZFP64	23/299	8.88933284387232e-07	0.000101990278828695	0	0	3.54083885209713	49.3353704514157	BCAR3;JUN;NRP2;ZHX2;TRIO;AUTS2;JADE1;SHROOM3;IRS2;NPPC;NUAK1;ZEB2;SEC14L1;BIN1;TRAF3;BHLHE40;ABL1;SH3BP4;TRIB3;BCOR;JUNB;BCAR1;BCL2L1
12	ZNF576	23/299	8.88933284387232e-07	0.000101990278828695	0	0	3.54083885209713	49.3353704514157	COA4;JUN;FEN1;ZNF593;KCNH4;TOMM40;TP53RK;TSEN2;ZNF48;ZBTB9;IRGQ;TRAF3;ZNF74;BHLHE40;CLPTM1;B3GNT2;ZNF668;INTS6;FARSA;JUNB;TNPO2;TRMT61A;BANP
13	ZNF628	23/299	8.88933284387232e-07	0.000101990278828695	0	0	3.54083885209713	49.3353704514157	JUN;KCNH4;SF3A2;IRS2;NR1D1;SIPA1L3;ATP5F1D;BICRA;ATXN2L;NR4A2;NR4A1;TMEM201;TRIM28;BCL6;TRAF3;BHLHE40;CNOT3;ZBTB7B;JUNB;ZFPM1;FBRS;TRMT61A;BCAR1
14	ZNF646	23/299	8.88933284387232e-07	0.000101990278828695	0	0	3.54083885209713	49.3353704514157	ZNF276;JUN;IRS2;ISG15;ZNF48;ATXN2L;NPPC;BCL9;ZNF609;CLIP1;SH3BP5L;TRIM28;BCL6;KANSL1;TRAF3;BHLHE40;ABL1;ZNF668;BCOR;ZBTB7B;JUNB;TNPO2;FBRS
15	ZNF777	23/299	8.88933284387232e-07	0.000101990278828695	0	0	3.54083885209713	49.3353704514157	JUN;KCNH4;CLUH;TOMM40;IRS2;BICRA;NR4A1;BCL9;BCL6;TRAF3;ZNF703;BHLHE40;ZNF746;ZNF668;TRIB3;ZNF689;BCOR;ZBTB7B;JUNB;ZFPM1;ZNF598;TRIM11;BCAR1
16	ADNP2	22/299	3.18478726671911e-06	0.000210808418693215	0	0	3.36705418343167	42.6172258949716	JUN;ZHX2;TSC22D2;ZBTB10;ZBTB43;TNFAIP3;NR1D2;IRS2;NUP153;ATP2B1;NR4A2;NR4A1;SFPQ;SEC14L1;BCL6;SERTAD2;TRAF3;BHLHE40;B3GNT2;ABL2;BCOR;JUNB
17	BRPF1	22/299	3.18478726671911e-06	0.000210808418693215	0	0	3.36705418343167	42.6172258949716	SETD5;JUN;SETD2;TRIO;IRS2;NUP153;BAZ1B;YY1;ATXN2L;ATXN2;TRIM28;BCL6;TRAF3;KAT6A;BAHD1;BHLHE40;ABL1;ZC3H18;BCOR;JUNB;SH2B3;SF1
