protein_name	chemical_id	chemical_name	atc	protein_id	mesh_id	uniprot_id	protein_score	protein_annotation	mesh_score	mesh_annotation	matador_score	matador_annotation
FRAP1	11954269	everolimus	L04AA18	9606.ENSP00000354587		Q9Y4I3 Q96QW8_HUMAN Q96QG3 Q6LE87 Q5TER3_HUMAN Q5TER1_HUMAN Q5T2J5_HUMAN Q4LE76_HUMAN P42345	950	DIRECT	0		950	DIRECT
APCS	11954225	gold sodium thiomalate	M01CB01	9606.ENSP00000255040	D000209	P02743	0		207	INDIRECT	207	INDIRECT
FTH1	11954225	gold sodium thiomalate	M01CB01	9606.ENSP00000273550	D000209	Q3SWW1 P02794 Q6NZ44_HUMAN	0		207	INDIRECT	207	INDIRECT
FGG	11954225	gold sodium thiomalate	M01CB01	9606.ENSP00000336829	D000209	P04470 P04469 P02679 Q9UC63_HUMAN Q9UC62_HUMAN Q96KJ3 Q96A14 Q7Z664_HUMAN Q53Y18_HUMAN	0		207	INDIRECT	207	INDIRECT
SERPINA1	11954225	gold sodium thiomalate	M01CB01	9606.ENSP00000348068	D000209	P01009 Q9UCM3_HUMAN Q9UCE6_HUMAN Q9P1P0 Q96ES1 Q96BF9 Q86U19_HUMAN Q86U18_HUMAN Q5U0M1 Q53XB8_HUMAN Q13747_HUMAN Q13672	0		207	INDIRECT	207	INDIRECT
LCN2	11954225	gold sodium thiomalate	M01CB01	9606.ENSP00000277480	D000209	Q5SYW0_HUMAN Q5SYV9_HUMAN P80188 P30150 Q92683 Q6FGL5_HUMAN	0		207	INDIRECT	207	INDIRECT
HPR	11954225	gold sodium thiomalate	M01CB01	9606.ENSP00000349451	D000209	P00739 P00738 P00737 Q9ULB0 Q92659 Q92658 Q7LE20 Q6PEJ8_HUMAN Q6LBY9 Q3B7J0 Q2PP15 Q14552_HUMAN	0		207	INDIRECT	207	INDIRECT
ORM1	11954225	gold sodium thiomalate	M01CB01	9606.ENSP00000349711	D000209	P02763 Q8TC16 Q6IB74_HUMAN Q5U067_HUMAN Q5T539_HUMAN Q5T538_HUMAN Q16571 P19652	0		207	INDIRECT	207	INDIRECT
ENSP00000256733	11954225	gold sodium thiomalate	M01CB01	9606.ENSP00000256733	D000209		0		207	INDIRECT	207	INDIRECT
SAA3P	11954225	gold sodium thiomalate	M01CB01	9606.ENSP00000278207	D000209	P22614 O95735	0		207	INDIRECT	207	INDIRECT
